_	a	determiner			banyin na basia	a man and a woman
a-ɔ-fɛre-ade	shy	adjective			basia a-ɔ-fɛre-ade	a shy woman
a-ɔ-nnyi-awiei	eternal	adjective			Nyame a-ɔ-nnyi-awiei	eternal God
a-ɔkyɛso	gracious	adjective			nyimpa a-ɔkyɛso	a gracious person
aa	ah	exclamation			aa yiw!	ah yes!
aagɔn	argon	science			aagɔn (Ar) wɔ protɔn 18	argon (Ar) has 18 protons
aaha	no	exclamation			me se aaha	I say no
aane	yes	exclamation			me se aane	I say yes
abaa	whip	noun			pɔnkɔ abaa	horse whip
abaawa	maid	noun			ɔ yɛ abaawa	she is a maid
abaayewa	maiden	noun			abaayewa fɛɛfɛw	beautiful maiden
abae	cane	noun			fa abae no bra	bring the cane
abaeforo	novice	noun			ɔ yɛ abaeforo	he is a novice
abaeforo	modern	adjective			kasa abaeforo	modern language
abakan	firstborn	noun			me abakan	my firstborn
abakyiba	lastborn	noun			wo abakyiba	your lastborn
abakɔn	wrist	noun			suo ne abakɔn mu	hold her wrist
abakɔsɛm	history	noun			sua abakɔsɛm	learn history
aban	government	noun			Nkrumah ne aban	Nkrumah's government
abandan	castle	noun			abandan fufuw no	the white castle
abandenden	fortress	noun			Nyame nye me abandenden	God is my fortress
abanoma	step-child	noun			me abanoma	my step-child
abansoro	upstairs	adverb			ɔ wɔ abansoro	he is upstairs
abansoro	storey building	noun			me resi abansoro	I am building a storey building
abantenten	tower	noun			Lɛndɛn Abantenten	Tower of London
abanyɛn	adoption	noun			fa no ma abanyɛn	give her up for adoption
abasa	arm	noun			ma wo abasa so	lift up your arm
abasirwa	teenager	noun			ɔ yɛ abasirwa	she is a teenager
abasobɔde	award	noun			ma no abasobɔde	give her an award
abasode	pledge	noun			kenkan abasode no	read the pledge
abawoo	childbirth	noun			abawoo de anyigye ba	a childbirth brings joy
Abena	Abena	noun	basia a wɔ wooee no Benada	Akan female born on Tuesday	Abena yɛ me babea	Abena is my daughter
aberante	young man	noun			aberante te sɛ wo	a young man like you
aberantewa	young boy	noun			aberantewa, bra ha!	young boy, come here!
abere a	when	conjunction		at the time	ɔ baee abere a wo kɔee	he came when you went
aberebiara	always	adverb			ɔ wɔ ha aberebiara	he is always here
aberewa	old lady	noun			me aberewa	my old lady
