_	a	determiner				a man and a woman
_	the	determiner				the house
adiresi	address	noun			adiresi yanu	your address
adona	madam	noun			adona Mary	madam Mary
Afirika	Africa	noun			pitani ku Afirika	visit Africa
agogo aakazi	grandmother	noun			agogo anga aakazi	my grandmother
agogo aamuna	grandfather	noun			agogo anga aamuna	my grandfather
Agosti	August	noun			Agosti ali ndi masiku 31	August has 31 days
aha	ah	exclamation			aha inde!	ah yes!
aironi	iron	science			aironi (Fe) ali ndi mapulotoni 26	iron (Fe) has 26 protons
akaunti	account	noun		a description of events	akaunti yakubanki	bank account
ake	her	possessive			nyumba yake	her house
ake	his	possessive			nyumba yake	his house
akuda	black	adjective			nsalu yakuda	black cloth
aleluya	hallelujah	exclamation		means "God be praised"	imbani aleluya	sing hallelujah
Algeria	Algeria	noun			pitani ku Algeria	go to Algeria
ali	have	verb			iyeyo ali ndi ndalama	she has money
ali	consist	verb		to be made up of	madzi ali ndi haidulojeni ndi okosijeni	water consists of hydrogen and oxygen
ali	consist	verb		to be made up of	madzi ali ndi hayidulojeni ndi okosijeni	water consists of hydrogen and oxygen
aliyense	everyone	pronoun			aliyense adzabwera	everyone will come
aloleni	allow	verb			aloleni iwo	allow them
aluminiyamu	aluminium	science			aluminiyamu (Al) ali ndi mapulotoni khumi ndi atatu	aluminium (Al) has 13 protons
ambiri	many	adjective			magalimoto ambiri	many vehicles
anthu	user	noun			pali anthu angati?	how many users?
April	April	noun			April ali ndi masiku 30	April has 30 days
arigoni	argon	science			arigoni (Ar) ali ndi mapolotoni khumi ndi asanu ndi atatu	argon (Ar) has 18 protons
atomu	atom	science			atumu ili ndi nyukiliyasi ndi maelekithironi	an atom has a nucleus and electrons
awisi	fresh	adjective			masamba awisi	fresh leaves
ayi	no	exclamation			ndati ayi	I say no
azakhali	aunt	noun		female relative of your mother	azakhali Ama	Aunt Ama
badwa	birth	verb			kubadwitsa mapasa	to birth twins
bafa	bathroom	noun			pitani kubafa	go to the bathroom
bajeti	budget	noun			bajeti ya chaka chino	this year's budget
bakela	blow	noun			m'menye ndi chibakela	give him a blow
bakha	duck	noun			bakha woyera	white duck
bakuli	collander	noun			gwiritsani ntchito bakuli kuti mpunga ukhe madzi	use the collander to drain the rice
baluni	balloon	noun			zibaluni ziwiri	two balloons
bambo	father	noun			mwana wa bambo anga ndi m'bale wanga	my father's child is my sibling
banja	marriage	noun			banja labwino	good marriage
banja	family	noun			banja latsopano	new family
banki	bank	noun			ndalama zanga zili kubanki	my money is at the bank
basi	just	adjective			kumeneko n'kupusa basi	it is just folly
