8 tage	eight days	noun			warten Sie 8 Tage	wait eight days
Aba	Aba	noun		Akan name for female born on Thursday	Aba ist meine Tochter	Aba is my daughter
Aba	Yaa	noun		Akan female born on Thursday	Aba ist meine Tochter	Yaa is my daughter
abbildung	figure	verb			Sie heraus es schwer ist?	you figure it is hard?
abdeckung	cover	verb			vertuschen	cover it up
abdeckung	cover	verb			Abdeckung mit einem Tuch; Kleid aus Stoff	cover with cloth; dress in cloth
Abena	Abena	noun		Akan female born on Tuesday	Abena ist meine Tochter	Abena is my daughter
abend	evening	noun			Abendessen; Abendessen	evening meal; dinner
aber	but	conjunction			Ich mag es, aber	I like it, but
abfall	waste	noun			Werfen Sie die Müll	throw away the waste
abfall	waste	noun			Die Arbeit war eine Verschwendung	the work has been a waste
abgaben	levy	noun			eine Abgabe	pay a levy
abholen	pick up	verb			holen Feuerholz	pick up firewood
abholen	pick up	verb			holen die Steine	pick up the stones
ablassen	drain	verb			verwenden Sie die collander, um den Reis abtropfen	use the collander to drain the rice
abschied nehmen	say goodbye	verb			wir 10 Minuten um sich zu verabschieden	we take ten minutes to say goodbye
absteigen	descend	verb			Abstieg auf die Erde	descend to the ground
abteilung	division	noun			2/1 = 2; dies Geschäftsbereich	2/1 = 2; this is division
abtreibung	abortion	noun			Der Arzt führt die Abtreibung	the doctor performs abortion
abziehen	peel off	verb			Abziehen der Putz	peel off the plaster
abziehen	deduct	verb			Abzug eines von zwei	deduct one from two
Accra	Accra	noun			Ich bin nach Accra gehen	I am going to Accra
achselhöhle	armpit	noun			stinkenden Achsel	smelly armpit
acht	eight	adjective		The number 8	Acht Flaschen	Eight bottles
acht personen	eight persons	noun			acht Personen kommen	eight persons are coming
achteck	octagon	noun			ein Achteck mit acht Winkeln	an octagon has eight angles
achtung	respect	verb			Ich respektiere Dank	I respect you very much
achtung	respect	noun			Respekt	show respect
achtzehn	eighteen	adjective		the number 18	achtzehn Flaschen	eighteen bottles
achtzig	eighty	adjective		the number 80	80 Flaschen	80 bottles
affe	monkey	noun			ein Affe mag Bananen	a monkey likes bananas
Afrika	Africa	noun			besuchen Afrika	visit Africa
Afrikanisch	African	adjective			Nischen Fußballmannschaft	African soccer team
Afrikanisch	African	noun			Ich bin ein Afrikaner	I am an African
Afrikanische Union	African Union	noun			Truppen der Afrikanischen Union	African Union troops
Ägypten	Egypt	noun		A country in Africa	nach Ägypten	go to Egypt
Ägypter	Egyptian	noun		someone from Egypt	die Ägypter	the Egyptians
Ajoa	Ajoa	noun		Akan female born on Monday	Ajoa ist meine Tochter	Ajoa is my daughter
aktie	share	verb			teilen sich die Nahrung	share the food
aktie	share	noun			wo ist mein Anteil?	where is my share?
aktinium	actinium	science			Actinium (Ac) hat 89 Protonen	actinium (Ac) has 89 protons
aktivität	activity	noun			es gibt viele Aktivitäten gibt	there are many activities there
Akuapem	Akuapem	noun			Akuapem ist ein Akan Sprache	Akuapem is an Akan language
akzeptanz	acceptance	noun			Liebe, Akzeptanz und Vergebung	love, acceptance and forgiveness
akzeptieren	accept	verb			akzeptieren sie	accept her
alarm	alert	verb			warnen sie	alert them
Algerien	Algeria	noun			gehen nach Algerien	go to Algeria
alle	all	determiner			alle Dinge	all things
alles	everything	pronoun			alles gut gegangen ist	everything has gone well
alligator	alligator	noun			ein Alligator hat einen Schwanz	an alligator has a tail
allmächtig	almighty	adjective			allmächtigen Gott	almighty god
Allmächtig	Almighty	noun			Der Allmächtige	The Almighty
als	as	adverb			wie es ist	as it is
als	than	conjunction			er größer als ich ist	he is taller than me
alt	old	adjective			alten Pfanne	old pan
ältere	elder	adjective			meine älteren Geschwister	my elder sibling
ältere	elder	noun			Die Ältesten	the elders
altersgruppe	age group	noun			Ihre Altersgruppe	your age group
altertum	antiquity	noun			sie haben hier von der Antike gewesen	they have been here from antiquity
altertum	ancient times	noun			in der Antike das hier war ein Straßen	in ancient times this here was a road
aluminium	aluminium	science			Aluminium (Al) hat 13 Protonen	aluminium (Al) has 13 protons
Ama	Ama	noun		Akan female born on Saturday	Ama ist meine Tochter	Ama is my daughter
ameise	ant	noun			Tausende von Ameisen	thousands of ants
ameisen	ants	noun			die Ameisen gedeihen	the ants are thriving
americium	americium	science			Americium (Am) hat 95 Protonen	americium (Am) has 95 protons
Amharisch	Amharic	noun			Amharisch und Oromo	Amharic and Oromo
amüsant	funny	adjective			amüsante Geschichte	funny story
ananas	pineapple	noun			Ananassaft	pineapple juice
anbetung	worship	verb			sie Götter anzubeten	they worship gods
andere seite	other side	adverb			Lassen Sie uns auf die andere Seite gehen	let us go to the other side
anfang	start	verb			, früh zu beginnen	to start early
anfang	beginning	noun			der Beginn	the beginning
angst	fear	verb			fürchten eine Erscheinung	fear an apparition
angst	fear	noun			Angst hat ihr Herz gefüllt	fear has filled her heart
anklage	accusation	noun			lag ein Vorwurf,	lay an accusation
ankommen	arrive	verb			wenn Sie ankommen, rufen Sie mich an	when you arrive, call me
ankündigung	announcement	noun			Lesen Sie die Ankündigung	read the announcement
anruf	call	verb			um den Jungen zu rufen	to call the boy
anstehen	befit	verb			es Ihnen geziemt	it befits you
anstrengung	effort	noun			eine gute Leistung	a good effort
antilope	antelope	noun			ein Löwe mag Antilopenfleisch	a lion likes antelope meat
antimon	antimony	science			Antimon (Sb) hat 51 Protonen	antimony (Sb) has 51 protons
antrieb	drive	verb			Auto fahren	drive a car
antwort	response	noun			Song Antwort (das heißt Chor)	song's response (i.e. chorus)
antwort	answer	noun			geben Sie mir eine Antwort	give me an answer
antwort	answer	verb			antworte mir	answer me
anzahl	number	noun			Nummer 5	number 5
anzünden	kindle	verb			ein Feuer anzünden	kindle a fire
April	April	noun			April hat 30 Tage	April has 30 days
Äquatorialguinea	Equatorial Guinea	noun		A country in Africa	gehen nach Äquatorialguinea	go to Equatorial Guinea
arbeit	work	noun			Ich möchte arbeiten, ich tun würde,	I want work I would do
arbeit	work	verb			hart arbeiten,	to work hard
arbeiten	working	noun			Arbeits ist nicht trivial	working is not trivial
ärger	hassle	verb			Ärger ihn so, dass er zahlt	hassle him so that he pays
ärgerlich	annoying	adjective			es ärgerlich für Sie ist	it is annoying to you
argon	argon	science			Argon (Ar) hat 18 Protonen	argon (Ar) has 18 protons
argument	argument	noun			viele Argumente	many arguments
argumentieren	argue	verb			argumentieren, mit ihm	argue with him
arm	arm	noun			Heben Sie Ihren Arm	lift up your arm
armut	poverty	noun			Armut und Reichtum	poverty or wealth
arsen	arsenic	science			Arsen (As) hat 33 Protonen	arsenic (As) has 33 protons
art	type	verb			Ich tippe schnell	I type fast
art	kind	noun			er und seine Art	he and his kind
arzt	doctor	verb			sie haben die Sache frisiert	they have doctored the thing
arzt	doctor	noun			sie ist Ärztin	she is a doctor
asche	ash	noun			Holzkohle und Asche	charcoal and ashes
astat	astatine	science			Astat (At) hat 85 Protonen	astatine (At) has 85 protons
atem	breath	noun			Sammeln Sie den Atem; Erholung	collect your breath; rest
Äthiopien	Ethiopia	noun		A country in Africa	gehen Sie zu Äthiopien	go to Ethiopia
Äthiopisch	Ethiopian	noun		someone from Ethiopia	die Äthiopier	the Ethiopians
atmen	breathe	verb			atmen Sie langsam	breathe slowly
atmen	breathe	verb			atmen ein wenig; sich verschnaufen	breathe a little; take a breather
atom	atom	science			ein Atom einen Kern und Elektronen	an atom has a nucleus and electrons
auch	also	adverb			er wird auch kommen	he will also come
auf	on	preposition			schlafen auf dem Tisch	sleep on the table
auf die toilette gehen	go to the toilet	verb			auf die Toilette zu gehen wöchentlich	to go to the toilet weekly
auf wiedersehen	goodbye	exclamation			Abschied nehmen	say goodbye
auferstehung	resurrection	noun			die Auferstehung Christi	the resurrection of Christ
auffüllen	fill up	verb			füllen Sie das Fass	fill up the barrel
aufheben	annul	verb			Aufhebung einer Ehe	annul a marriage
auflehnen	lean on	verb			lean on me	lean on me
aufrecht	upright	adjective			aufrechte Person	upright person
aufstieg	climb	verb			zum Bergsteigen	to climb mountains
aufzug	lift	verb			Heben Sie das Buch	lift the book
aufzug	lift	verb			höhere heben	to lift higher
augapfel	eyeball	noun			Auge und Augapfel	eye and eyeball
