's		preposition	reverses possession: "life of Pi" is the same as "Pi's life"			
a		determiner			a man and a woman	
a little		adverb			wait a little	
a story about himself		phrase			a story about himself	
Aba		noun	Akan name for female born on Thursday		Aba is my daughter	
abdomen		noun			abdomen of a dog	
Abena		noun	Akan female born on Tuesday		Abena is my daughter	
able	competent	adjective		see 'able'	an able woman	
abochi		noun	abochi is a Hausa word meaning "friend of man". Used as an Akan name		we are very good friends	
abomination		noun			it is an abomination	
aborigine		noun			we are the aborigines	
abortion		noun			the doctor performs abortion	
about		preposition			I think about you	
above		preposition	on top of		above the house	
abroad		noun			she goes abroad	
abundant	rich	adjective	see 'rich'			a rich country
academy	school	noun	see 'school'	a place where learning happens		I learn to read at school
accept	admit	verb		see 'accept'	accept her	
acceptance		noun			love, acceptance and forgiveness	
access	permission	noun		see 'access'	give me access	
accident		noun			car accident	
accomplish	achieve	verb	see 'achieve'			to achieve something
account		noun	a description of events		bank account	
accountability		noun			responsibility and accountability 	
accounting	mathematics	noun	see "mathematics"			she teaches mathematics
accounts		noun			she made accounts	
Accra		noun			I am going to Accra	
accusation		noun			lay an accusation	
accuse		verb			they accused him	
achieve	accomplish	verb		see 'achieve'	to achieve something	
achievement		noun			your achievement is appreciated	
acidic		adjective			acidic water	
act		noun			Act 1 of the play	
act		verb	to do something		to act now	
actinium		science			actinium (Ac) has 89 protons	
action		noun			show me the action	
active		adjective			an active lifestyle	
activity		noun			there are many activities there	
actual	true	adjective	see 'true'			it is true
ad	advertisement	noun	advertisement			a new advertisement
add		verb			add sugar	
addition	sum	noun		total amount; see 'addition'	1 + 1 = 2; this is addition	
address		noun			your address	
adjective		noun			three adjectives	
adjust		verb			to adjust the door	
administration		noun	the process of running an organization		her administration brought progress	
admire		verb			to admire someone	
admit	accept	verb	see 'accept'			accept her
adopt		verb			to adopt a child	
adoption		noun			give her up for adoption	
adulation		noun			she deserves adulation	
adult		noun			he is an adult	
adultery		noun			adultery and divorce	
advance		adjective			give me an advance warning	
advantage		noun			they have an advantage	
advent	coming	noun	see 'coming'			the second coming
adverb		noun			ten adverbs	
advert	advertisement	noun	advertisement			a new advertisement
advertise		verb			to advertise a product	
advertisement	ad	noun		advertisement	a new advertisement	
advertisement	advert	noun		advertisement	a new advertisement	
advice		noun			a priest has advice	
advise		verb			Samia advises Olu	
advocate	lawyer	noun			four advocates	four lawyers
aeroplane		noun			two aeroplanes	
affair	event	noun	see 'event'			the event has started
affect	touch	noun	see 'touch'			to touch her hair
affluent	rich	adjective	rich			a rich country
Afghan		noun	someone from Afghanistan		the Afghans	
Afghanistan		noun	A country in Asia		go to Afghanistan	
aforementioned person		pronoun	the previously named person		maybe the aforementioned person has sent him	
Africa		noun			visit Africa	
African		adjective			African soccer team	
African		noun			I am an African	
African		noun	someone from Africa		I am an African	
African Union		noun			African Union troops	
afternoon		noun			I will come in the afternoon	
again		adverb			see her again	
age		noun			your age	
age group		noun			your age group	
aggression		noun			too much aggression	
agree	consent	verb		agree (v)	do you agree?	
ah		exclamation			ah yes!	
aid	help	noun	see 'help (n)'			everyone needs help
aim	mission	noun		aim	life's aim	
air	wind	noun			the air is blowing	the wind is blowing
airport		noun			I'm going to the airport	
Ajoa		noun	Akan female born on Monday		Ajoa is my daughter	
Akan		noun	a language group originating from West Africa		I speak Akan	
Akuapem		noun			Akuapem is an Akan language	
alert		verb			alert them	
Algeria		noun			go to Algeria	
Algeria		noun	a country in Africa		go to Algeria	
alhaji		noun			he is an alhaji	
all		determiner			all things	
all		pronoun	refers to the whole		all came	
allergic		adjective			allergic skin	
allergy		noun			groundnut allergy	
alligator		noun			an alligator has a tail	
alligator pepper	guinea grain	noun		alligator pepper; melegueta; grains of paradise	add some alligator pepper to the food	
allow		verb			allow them	
almighty		adjective			almighty god	
Almighty		noun			The Almighty	
alone		adverb			he will go alone	
alphabet		noun			I know all the alphabet	
also		adverb			he will also come	
aluminium		science			aluminium (Al) has 13 protons	
always		adverb			he is always here	
am	be	verb je tdy	first person form of the simple present of 'be'	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are		You are an important person
Ama		noun	Akan female born on Saturday		Ama is my daughter	
amazing	wonderful	adjective		amazing	amazing story	
ambassador		noun			ambassador of Kenya	
ambition	aspiration	noun	aspiration			good aspirations
America		noun			America is a continent	
American		noun			she is an American	
americium		science			americium (Am) has 95 protons	
Amharic		noun			Amharic and Oromo	
among	amongst	preposition		see 'among'	among people	
amongst	among	preposition	see 'among'			among people
amount	quantity	noun	see 'quantity'			quantity of the food
ampay		noun	a game of clapping and jumping		let's play ampay	
amuse	entertain	verb	see 'entertain'			entertain yourself
amusing	funny	adjective	funny			funny story
an		determiner	same as 'a' but used when the next word begins with a vowel. e.g. an ant.			
ancestor		noun			my ancestors	
anchor		noun			anchor of a ship	
ancient		adjective			ancient house	
ancient times		noun			in ancient times this here was a road	
and		conjunction	for non-human conjunctions		ear and nose	
and		conjunction			Kofi and Ama	
anger		noun			calm your anger	
angle		noun	the length of turn between two straight lines that meet		two angles	
Angola		noun	A country in Africa		go to Angola	
Angolan		noun	someone from Angola		the Angolans	
anguish	distress	noun	distress			shame and distress
animal		noun			a dog is an animal	
ankle		noun			your ankles	
announce		verb			announce that	
announcement		noun			read the announcement	
annoy		verb			you are annoying me	
annoyance	irritation	noun		annoyance	it is an annoyance	
annoying		adjective			it is annoying to you	
annual	yearly	adjective	see 'yearly'			a yearly festival
annul		verb			annul a marriage	
anoint		verb			she anointed my head with oil	
answer	reply	verb		see 'answer' (verb)	answer me	
answer		noun			give me an answer	
ant		noun			thousands of ants	
Antartica		noun			Antartica is a continent	
antelope		noun			a lion likes antelope meat	
anthill		noun			a tall anthill	
antimony		science			antimony (Sb) has 51 protons	
antiquity		noun			they have been here from antiquity	
ants		noun			the ants are thriving	
anvil		noun			hammer and anvil	
any		adjective	one selection out of a number of choices			
apathy		noun			apathy kills good things	
ape		noun			an ape and a monkey	
apparition		noun			fear an apparition	
appellation		noun			proclaim her appellations	
apple		noun			eat the apple	
application		noun			job application	
appreciate		verb			you do not appreciate this	
apprentice		noun			a good apprentice	
approach		verb			to approach quickly	
apricot		noun			two apricots	
April		noun			April has 30 days	
are	be	verb conj	first (we are), second (you are) and third (they are) person plural form of the simple present of 'be'. Also used in the second person singular 'you are'	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are		You are an important person
area		math	a quantity that represents the size of a surface		area (rectangle) = length x width	
argon		science			argon (Ar) has 18 protons	
argue		verb			argue with him	
argument	controversy	noun		argument	many arguments	
arm		noun			lift up your arm	
Armenia		noun	A country in Asia		go to Armenia	
Armenian		noun	someone from Armenia		the Armenians	
armpit		noun			smelly armpit	
arrange		verb			arrange the chairs	
arrive		verb			when you arrive, call me	
arrogant		adjective			arrogant man	
arrow		noun			bow and arrow	
arse	bum	noun	bum			large bum
arsenic		science			arsenic (As) has 33 protons	
artefact	thing	noun	thing	a reference to an unnamed object		the thing; the things
artery		noun	arteries carry blood away from the heart		a large artery	
article	story	noun	see 'story'			tell me a story
as		adverb			as it is	
ash		noun			charcoal and ashes	
Asia		noun			Asia is a continent	
ask		verb			to ask Kofi	
aspiration	ambition	noun		aspiration	good aspirations	
asset	resource	noun			a good asset	a good resource
assist	help	verb	see 'help (v)'			you are helping everyone
assistance	help	noun	see 'help' (n)			everyone needs help
assistant	helper	noun			my assistant	my helper
association	society	noun		see 'association'	come to the men's association meeting	
astatine		science			astatine (At) has 85 protons	
at		preposition			meet me at home	
athlete		noun			she is an athlete	
atom		science			an atom has a nucleus and electrons	
attach		verb			attach to wall	
attire		noun			your attire is beautiful	
auction		verb			to auction the house	
August		noun			August has 31 days	
aunt	auntie	noun	female relative of your mother	another form of the noun 'aunt'	Aunt Ama	
aunt	aunty	noun	female relative of your mother	another form of the noun 'aunt'	Aunt Ama	
auntie	aunt	noun	another form of the noun 'aunt'	female relative of your mother		Aunt Ama
aunty	aunt	noun	another form of the noun 'aunt'	female relative of your mother		Aunt Ama
Australia		noun			go to Australia	
authoritative		noun			she is authoritative	
authority	power	noun	see 'power'			strength and power
autism		noun			autism is a disease	
Autumn		noun			I spend Autumn in France	
avenue	way	noun	way			the way
avoid		verb			to avoid evil	
awaken	wake up	verb		see "awaken"	wake him up; awaken him	
award		noun			give her an award	
awesome		adjective			awesome God	
axe		noun			four axes	
aye		exclamation			Aye! Silence!	
Azerbaijan		noun	A country in Asia		go to Azerbaijan	
Azerbaijani		noun	someone from Azerbaijan		the Azerbaijanis	
azonto		noun			I know how to dance azonto	
b (B)		noun			You learn your "A B D" at school	
baboon		noun			three baboons	
baby		noun			I have a baby	
back	rear	noun	rear or reverse surface of a thing	back	the back of the door	
back of the head		noun			the back of your head	
backyard		noun			the backyard is overgrown	
bad		adjective			bad dog	
badge		noun			a white badge	
bag		noun			look at the bag	
Bahrain		noun	A country in Asia		go to Bahrain	
Bahraini		noun	someone from Bahrain		the Bahrainis	
bake		verb			bake bread	
balderdash	nonsense	noun	nonsense			he talks nonsense
ball		noun			play ball	
balloon		noun			two balloons	
banana		noun			a monkey likes bananas	
Bangladesh		noun	A country in Asia		go to Bangladesh	
Bangladeshi		noun	someone from Bangladesh		the Bangladeshis	
bank		noun			my money is at the bank	
banku		noun			you eat banku?	
baptise		verb			baptise with water	
baptise		verb			baptise John	
baptism		noun			repentance and baptism	
barb		verb			barb hair; cut hair	
bargain		verb			bargain over price	
barium		science			barium (Ba) has 56 protons	
bark		noun			bark of a tree	
bark		verb			a dog barks	
barrel		noun			fill up the barrel	
barren		adjective			barren woman	
basic	easy	adjective	simple			the exam is easy
basin		noun			nine basins	
basket		noun			carry a basket	
bat		noun			three bats	
bath		verb			to bath each morning	
bathroom		noun			go to the bathroom	
battery		noun			a new battery	
battle		verb			we are going to battle them	
battle		noun			we are going to battle	
be	am	verb	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	first person form of the simple present of 'be'	You are an important person	
be	are	verb	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	first (we are), second (you are) and third (they are) person plural form of the simple present of 'be'. Also used in the second person singular 'you are'	You are an important person	
be	is	verb	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	third person (she/he/it is) singular of the verb 'be'	You are an important person	
be	was	verb	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	singular form of the simple past tense of 'be'. I was; she/he/it was	You are an important person	
be	were	verb	used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	plural form of the simple past tense of 'be'. we were; you were; they were	You are an important person	
be able to	can	verb		be able to	I am able to climb a tree	I can read
be at		verb	to be at a place		he is here!	
be beautiful		verb			a butterfly is beautiful	
be big		verb			you are big and you are high	
be cooked		verb			food is cooked	
be defeated		verb			you were defeated	
be drunk		verb			you are drunk	
be emotionally charged		verb			today will be emotionally charged	
be evil		verb			abusing drugs is evil	
be finished		verb			the oil is finished	
be fitting		verb			it is fitting that	
be good		verb			prayer is good	
be guilty of		verb			we are guilty	
be high		verb			you are big and you are high	
be ill		verb			I am ill	
be jealous		verb			be jealous over her husband	
be last		verb			you are last	
be lengthy		verb			your story is lengthy	
be pregnant		verb			I am pregnant	
be relevant to		verb			it is not about me	
be satisfied		verb			I am satisfied	
be shy		verb			I am shy	
be trivial		verb			working is not trivial	
be wrong		verb			am I wrong?	
beach		noun			beach sand	
beads		noun			good beads	
beaker		noun			there is water in the beaker	
bean		noun			rice and beans	
bear fruit		verb			the tree has borne fruit	
beard		noun			long beard	
beat		verb			beat someone	
beautiful	handsome	adjective		masculine form of 'beautiful'	it is beautiful	
beauty		noun			beauty and love	
because		conjunction			because I like you	
become		verb	to begin to be		she became rich	
become famous		verb			Nkrumah has become famous	
bed		noun			sleep on the bed	
bedbug		noun			to kill bedbugs	
bedroom		noun			the house has two bedrooms	
bedstead		noun			to buy a bedstead	
bee		noun			many bees	
beef		noun			eat beef	
beer		noun			we are drinking beer	
befit		verb			it befits you	
before		preposition			eat before (you) sleep	
befriend		verb			befriend me	
beg		verb			to beg for something	
begin		verb			start eating	
beginning		noun			the beginning	
behaviour		noun			normal behaviour	
behind		preposition			go behind	
behind		noun			the end has neared	
being		noun			human being	
belch		verb			eat then belch	
belch		verb			belch smoke	
belief	faith	noun	see 'faith'			faith and peace
believe	trust	verb		see 'believe'	believe Kofi	
Believe me, I was brave		phrase			Believe me, I was brave	
bell		noun			school bell	
belly	stomach	noun	see stomach			big stomach
belly button	navel	noun	see 'navel'			my navel
beloved	lover	noun	lover			my lover has tricked me
belt		noun			black belt	
bench		noun			to sit on the bench	
bend		verb			bend it a bit	
benevolence	kindness	noun	kindness			favour and kindness
Benin		noun	A country in Africa		go to Benin	
Beninois		noun	someone from Benin		the Beninois	
berkelium		science			berkelium (Bk) has 97 protons	
beryllium		science			beryllium (Be) has 4 protons	
best	good	adjective	the most good of three or more options			a good gift
betray		verb			do not betray me	
better	good	adjective	the more good of two options			a good gift
between		preposition			between A and B	
bewitch		verb			your love has bewitched me	
Bhutan		noun	A country in Asia		go to Bhutan	
Bhutann		noun	someone from Bhutan		the Bhutanns	
bias	prejudice	noun	see "prejudice"			fear and prejudice
bible		noun			the Bible and the Koran	
bicycle		noun			new bicycle	
big		adjective			Big Adae	
bile	gall	noun		bile	green bile	
bill	debt	noun	debt after using a service			he has many debts
billhook		noun			three billhooks	
billion		adjective	the number 1 000 000 000		a billion bottles	
biology		noun	the study of living things		we are learning biology	
bird		noun			a bird flies	
birth		verb			to birth twins	
birth		noun			place of birth	
