œil	eye	noun			œil et globe oculaire	eye and eyeball
œuf	egg	noun			œuf de poule	chicken egg
a	has	verb conj	avoir (elle a; il a)	third person singular form of the simple present tense of 'have'. She/he/it has.		
à	at	preposition			me rencontrer à la maison	meet me at home
à	to	preposition			d'ici à là	from here to there
à l'étranger	abroad	noun			elle va à l'étranger	she goes abroad
à l'extérieur	outdoors	noun			aller à l'extérieur	go outdoors
à l'extérieur	outside	noun			aller à l'extérieur	go outside
à l'intérieur	inside	adverb			aller à l'intérieur	go inside
abdomen	abdomen	noun			abdomen d'un chien	abdomen of a dog
abeille	bee	noun			beaucoup d'abeilles	many bees
acceptation	acceptance	noun			amour, l'acceptation et le pardon	love, acceptance and forgiveness
accepter	accept	verb			accepter elle	accept her
accès	access	noun			me donner accès	give me access
accident	accident	noun			accident de voiture	car accident
accouchement	childbirth	noun			un accouchement apporte la joie	a childbirth brings joy
accusation	accusation	noun			déposer une accusation	lay an accusation
accuser	accuse	verb			ils l'accusèrent	they accused him
acheter	buy	verb			acheter quelque chose	to buy something
acheter	purchase	verb			acheter quelques choses	purchase a few things
acheteur	buyer	noun			acheteurs et les vendeurs	buyers and sellers
acide	acidic	adjective			eau acide	acidic water
acte	act	noun			Acte 1 de la pièce	Act 1 of the play
actinium	actinium	science			actinium (Ac) a 89 protons	actinium (Ac) has 89 protons
action	action	noun			me montrer l'action	show me the action
activité	activity	noun			il ya beaucoup d'activités y	there are many activities there
addition	addition	noun			1 + 1 = 2; c'est l'addition	1 + 1 = 2; this is addition
administration	administration	noun		the process of running an organization	son administration a apporté des progrès	her administration brought progress
adopter	adopt	verb			adopter un enfant	to adopt a child
adoption	adoption	noun			lui donner en adoption	give her up for adoption
adresse	address	noun			ton adresse	your address
adulation	adulation	noun			elle mérite l'adulation	she deserves adulation
adulte	adult	noun			il est un adulte	he is an adult
adultère	adultery	noun			l'adultère et le divorce	adultery and divorce
affaires	business	noun			affaires et la politique	business and politics
Africain	African	noun			Je suis un Africain	I am an African
Afrique	Africa	noun			visiter l'Afrique	visit Africa
âge	age	noun			ton âge	your age
agneau	lamb	noun			Jésus, l'agneau de Dieu	Jesus, lamb of God
agréable	nice	adjective			rendre agréable	make it nice
agression	aggression	noun			trop de l'agression	too much aggression
agriculteur	farmer	noun			elle est un agriculteur	she is a farmer
ah	ah	exclamation			ah oui!	ah yes!
ai		verb conj	avoir (j'ai)			
aide	help	noun			tout le monde a besoin d'aide	everyone needs help
aider	help	verb			tu aides tout le monde	you are helping everyone
aie	ouch	exclamation			Aïe! Ça fait mal	Ouch! It hurts
aiguille	needle	noun			chaîne et l'aiguille	string and needle
aile	wing	noun			une colombe a des ailes	a dove has wings
aimer	love	verb			Je t'aime	I love you
aimer	like	verb			une grenouille aime l'eau	a frog likes water
aine	groin	noun			aine d'un homme	groin of a man
aîné	elder	adjective			mon frère aîné	my elder sibling
ainsi	so	conjunction			ainsi pourquoi?	why so?
air	air	noun			l'air souffle	the air is blowing
aisselle	armpit	noun			aisselle malodorante	smelly armpit
ajouter	add	verb			ajouter le sucre	add sugar
ajuster	adjust	verb			pour ajuster la porte	to adjust the door
Akan	Akan	noun		a language group originating from West Africa	je parle Akan	I speak Akan
alerter	alert	verb			alerter eux	alert them
Algérie	Algeria	noun			aller en Algérie	go to Algeria
alhaji	alhaji	noun			il est un alhaji	he is an alhaji
alléluia	hallelujah	exclamation		means "God be praised"	chanter alléluia	sing hallelujah
aller	go	verb			aller à l'école	to go to school
alliance	covenant	noun			une nouvelle alliance	a new covenant
alligator	alligator	noun			un alligator a une queue	an alligator has a tail
allumer	switch on	verb			allumer la radio	switch on the radio
allumer	kindle	verb			allumer un feu	kindle a fire
aluminium	aluminium	science			aluminium (Al) a 13 protons	aluminium (Al) has 13 protons
âme	soul	noun			mon âme exulte	my soul exults
amer	bitter	adjective			médecine amère	bitter medicine
américium	americium	science			américium (Am) a 95 protons	americium (Am) has 95 protons
Amharique	Amharic	noun			l'Amharique et Oromo	Amharic and Oromo
ami	friend	noun			mon ami	my friend
amour	love	noun			l'amour et la paix	love and peace
amusant	funny	adjective			histoire amusante	funny story
ananas	pineapple	noun			jus d'ananas	pineapple juice
ancêtre	ancestor	noun			mes ancêtres	my ancestors
ancre	anchor	noun			ancre d'un navire	anchor of a ship
âne	donkey	noun			dix ânes	ten donkeys
Anglais	English	noun			Je parle anglais	I speak English
angle	angle	noun		the length of turn between two straight lines that meet	deux angles	two angles
anguille	eel	noun			sept anguilles	seven eels
animal	animal	noun			un chien est un animal	a dog is an animal
année	year	noun			une nouvelle année a venir	a new year has come
anniversaire	birthday	noun			aujourd'hui c'est mon anniversaire	today is my birthday
