ann	you	pronoun		second person singular subject pronoun. Used to indicate one person being addressed	ann nyama	you eat
be	and	conjunction		for non-human conjunctions	nofuru be kine	ear and nose
chiuta jam	goodbye	exclamation			wi u chiuta jam	say goodbye
donka	thirst	noun			welou be donka	hunger and thirst
gite	eye	noun			gite be gite bodeje	eye and eyebrow
hanko	her	pronoun			holla hanko	show her
jomoti	spirit	noun			odon mari jomti  sembigol	he has a strong spirit
lota	wash	verb			lota togge	wash clothes
mi	I	pronoun		used to indicate oneself	mi fiaama	I eat
mi hinnim	hello	exclamation			mi hinni ma barkama	hello sir
nbal	wine	noun			mindon njara nbal nbelka	we are drinking sweet wine
neddo	person	noun			neddo mardobote	important person
yonki	soul	noun			yonki am nani memama	my soul exults
