abele	corn	noun			abele  kɛ nkɛtiɛ	corn and groundnuts
abele	corn	noun				corn and groundnuts
abɛi	butterfly	noun				a butterfly is beautiful
Abɛibe	April	noun			Abɛibe yɛ gbii 30	April has 30 days
abɛku	left	adjective			yaa abɛku gbɛ	go left
abifao	baby	noun			mi yɛ abifao	I have a baby
aboloo	cake	noun				we will eat the cake
abonua	lime	noun			abonua mi nu	lime juice
abotia	goat	noun			abotia kɛ gwaŋtɛŋ	a goat and a sheep
abotia	goat	noun			abotia kɛ too	a goat and a sheep
abui	needle	noun			abui kɛ kpaŋ	string and needle
abui gbuu	injection	noun			abui gbuu waamɔhe	an injection is painful
adafi	journalist	noun			wɔ ji adafi tsuakɔɛ	we are journalists
adafi	second	noun			nyɔŋma adafi	ten seconds
adafitwaa	announcement	noun			kanemɔ adafitwaa lɛ	read the announcement
adebɔɔ	creation	noun			adebɔɔ fɛɛ	all creation
adeka	box	noun			adeka A da fe adeka B	box A is bigger than box B
adena	shrimp	noun			adena ejwɛ	four shrimps
adesa	human	noun			wɔji adesa	we are humans
adesa	fable	noun			mɔ hee adesa eyee	one does not believe fables
adesa	story	noun			taŋ adesa	tell me a story
adɔdɔŋ	blowfly	noun			adɔdɔŋjii ahe yɛ minla	blowflies are annoying
adɔdɔŋ	housefly	noun			adɔdɔŋ kɛ hela baaa	a housefly can carry disease
aduawa	fruit	noun			tse  aduawa	pluck fruit
aduu	monkey	noun			aduu sumɔɔ akwadu	a monkey likes bananas
afabaŋ	fence	noun			afabaŋ lɛ sɛɛ	behind a fence
afaflanta	butterfly	noun			afaflanta  yɛ fɛo	a butterfly is beautiful
afaseo	violet	adjective			fɔfɔi yɛ afaseo	violet flowers
afi	year	noun			afi hee e ba	a new year has come
aflaŋaa	yellow	adjective			aflaŋaa wuɔfɔ	yellow flag
aflaŋaa	flag	noun			aflaŋaa wuɔfɔ	yellow flag
afɔlei	sacrifice	noun			kɛfɔ afɔlei	offer a sacrifice
Afrika	Africa	noun				visit Africa
Afrika	African	adjective			Afrika sɔka tiim	African soccer team
Afrika	Africa	noun			ba Afrika	visit Africa
Afuabe	December	noun			Afuabe yɛ gbii 31	December has 31 days
afukpɔŋɔ	camel	noun			afukpɔŋɔi ekpaa	six camels
agbo	big	adjective			Adae  agbo	Big Adae
agbo	big	adjective			Adae Agbo	Big Adae
agbo	fat	adjective			kpai agbo	fat cheeks
agbonaa	outdoors	noun			ya agbonaa	go outdoors
agbonaa	outside	noun			ya agbonaa	go outside
Agbɛinaa	May	noun			Agbɛinaa yɛ gbii 31	May has 31 days
agyei	ouch	exclamation			Agyeii! E shaamɔ	Ouch! It hurts
Aharabata	January	noun			Aharabata nyɔɔ yɛ gbii abɔ 31	January has 31 days
aharabata	harmattan	noun			aharabata kɔɔyɔɔ	harmattan winds
ahrabata bee	dry season	noun			ahrabata bee eba	the dry season has arrived
ajei!	ouch	exclamation			Ajei eesha mi	Ouch! It hurts
ajenu	riddle	noun			amlalo kɛ ajenu	puzzles and riddles
Akan	Akan	noun		a language group originating from West Africa	mi wiɛɔ Akan	I speak Akan
akashii	politics	noun			osumɔɔ akashii	you like politics
akaŋshii	competition	noun				football competition
akɛ	for	preposition				for ourselves
akɛfatahe	addition	noun			1+1=2; enɛ lɛ akɛfatahe	1 + 1 = 2; this is addition
akoi	parrot	noun	akoi mji loofɔlɔ	a parrot is a bird	akoi enyɔ	two parrots
akɔntaa	accounts	noun			e bu akɔntaa	she made accounts
akɔntaa	mathematics	noun			e tsɔɔ akɔntaa	she teaches mathematics
akpa	page	noun			gbele akpa nyɔŋmai enyɔ	open page twenty-two
akpanŋ	vulture	noun			akpanŋ a looflɔ ni	a vulture is a bird
akpata	shade	noun			mi ta akpata shi	I am sitting under the shade
akpe	thousand	adjective		the number 1000	tɔi akpe	thousand bottles
akpokpolonto	tortoise	noun				a tortoise walks slowly
akutso	neighbourhood	noun			wɔ hi akutso kome mli	we live in the same neighbourhood
akutu	orange	noun			akutu  etɛ	three oranges
akwadu	banana	noun			aduu suumɔ akwadu	a monkey likes bananas
Alemle	November	noun			Alemle yɛ gbii 30	November has 30 days
aligidɔn	cotton	noun			aligidɔn mama	cloth of cotton
aloo	or	conjunction			Kofi aloo Ama	Kofi or Ama
aloplee	aeroplane	noun			aloplee enyo	two aeroplanes
alɔnte	cat	noun			alɔnte yɛ lei	a cat has a tail
amadaŋ	plantain	noun			amadaŋ kɛ duade	plantain and cassava
