... sia ...	each	adjective			nu sia nu	each thing
... sia ...	every	adjective		all; each	nu sia nu	
_	a	determiner				a man and a woman
aah	approach	verb			aah ɛ	to approach quickly
aba	mat	noun			keke aba	spread out a mat
aba	bed	noun			mlɔ anyi de abadzi	sleep on the bed
aba	ledge	noun			mlɔ anyi de abadzi	sleep on the ledge
abadzivɔ	blanket	noun			abadzivɔ ƒotsi	wet blanket
abadzivɔwo	mattress	noun			abadzivɔ yeye wo	a new mattress
abati	bed	noun				sleep on the bed
abatsi	bedstead	noun			na ƒle abatsi	to buy a bedstead
abi	sore	noun			avuwo la le abi la me dudɔm	the dog is licking its sore
abidodo	injection	noun			abidodo vena	an injection is painful
abikuku	scar	noun			abikuku le eƒe alɔgonu	her cheek has a scar
abila	zebra	noun			abila adre	seven zebras
abladzo	plantain	noun				plantain and cassava
ablotsi	abroad	noun			ɛ yi ablotsi	she goes abroad
abo	soccer	noun			abo hoʋliʋli	football competition
abo	ball	noun			ƒo abo	play ball
abolo	bread	noun			abolo bɔboe	soft bread
abolo	bread	noun			abolo bɔbɔ	soft bread
abɔ	arm	noun			kɔ abɔdzi	lift up your arm
abɔbi	herring	noun			akpa nye abɔbi	a herring is a fish
abɔbɔ	snail	noun			mɛduna abɔbɔ	I eat snails
abɔlu	oyster	noun			me du na abɔluwo	I eat oysters
abɔme	garden	noun			miaƒe abɔme	our garden
abɔɖzokpo	preschool	noun				
abui	syringe	noun			nursivi do abui	a nurse's syringe
abui	fox	noun			abui eve	three foxes
abui	hyena	noun			abui eve	two hyenas
abui	needle	noun			eka kple abui	string and needle
adaba	eyebrow	noun			nku kple adaba	eye and eyebrow
adabafu	eyelash	noun			adabafu yibɔ	black eyelashes
adabaƒoƒo	second	noun			adabaƒoƒo ewo	ten seconds
adagbe	GaDangme	noun		Ga. A West African people; their language	me do na adagbe	I speak GaDangme
adaka	box	noun			adaka A lolo awu adaka B	box A is bigger than box B
adanu	advice	noun			fiavi la na adanu	a priest has advice
adanudola	councillor	noun			e nye adanudola	she is a councillor
adasi	testament	noun			adasi yeye	new testament
adatsi	tear	noun			adatsi wɔ nukume nam	my eyes filled with tears
adaŋu	technical	adjective			adaŋu dɔ	technical work
adaŋudodo	advise	verb			samia do adaŋu na olu	Samia advises Olu
ade	six	adjective		The number 6		six bottles
ade	throat	noun			tutu wo adedzi	clear your throat
ade	some	determiner			nuɖuɖu ade	some food
Adeɛmekpɔxe	November	noun				November has 30 days
adi	venom	noun			eda ƒe adi	venom of a snake
adi	oware	noun			mia teŋu aɖa adi?	can you play oware?
adodui	major	adjective			dukɔ adodui	a major town
adre	seven	adjective		The number 7		seven bottles
adrɛsi	address	noun			woƒe adrɛsi	your address
adu	tooth	noun			adu yi	white tooth
adzale	soap	noun			adzale kple tɔkpo	pail and soap
adzale	soap	noun				pail and soap
adzale	pail	noun			adzale kple etsia	pail and soap
adzasi	squeeze drum	noun			ƒo adzasi vu la	play the squeeze drum
adze	witch	noun			enye adzetɔ	she is a witch
adze	witchcraft	noun			adze le esi	practise witchcraft
adze	wizard	noun			ŋutsu adzetɔ	he is a wizard
adzexe	owl	noun			adzexevi	an owl is a bird
adzo	puzzle	noun			alobalo kple adzo	puzzles and riddles
adzo	riddle	noun			adzo kple alobalo	puzzles and riddles
adzudzɔ	smoke	noun			metu adzudzɔ	belch smoke
adzɔdola	sponsor	noun			adzɔdola suagbɔwo	many sponsors
adzɔgba	luxury	noun			mekpɔ adzɔgbanuwo le wo tsɔ me	I see luxury in your future
aɖaka	box	noun			aɖaka A lolo wu aɖaka B	box A is bigger than box B
aɖasitɔ	witness	noun			aɖasitɔ etɔ	three witnesses
aɖe	tongue	noun			avu ƒe aɖe	dog's tongue
aɖoƒe	footstep	noun			kplɔ nɔwo ƒe afɔɖoƒe do	follow in your mother's footsteps
aɖɔ	squirrel	noun			aɖɔ lɔ neƒui	a squirrel likes palm nuts
aɖuba	pawpaw	noun				pawpaw and banana
afeme	home	noun			yo afeme	your home
afi	mouse	science			kuŋpita ƒe afi	computer mouse
afi	mouse	noun			afi ga	a big mouse
afi	rat	noun			afi ga	a big rat
afiatsoso	lapse	noun			afiatsotso gede	too many lapses
afiaɖe	somewhere	pronoun			mi yi na afiaɖe	we are going somewhere
afika	where	adverb			afikae ne le?	where do you live?
afima	there	noun		that place		here and there
afima	there	adverb			e afima yi ge	she will go there
afisia	here	adverb			tasi de afisia	click here
afisiafi	everywhere	pronoun			afisiafi xɔ dzo	everywhere is hot
afiya	here	noun		this place or this position		go from here
aflanga	flag	noun			atsididi fe aflanga	yellow flag
afli	row	noun			efli etɔwo na azikpi	three rows of chairs
afli	saucepan	noun			efli etɔwo na azikpiwo	cook in the saucepan
afɔ	leg	noun			afɔ tete	swollen leg
Afɔfiɛ	April	noun				April has 30 days
afɔkpa	slippers	noun			e le afɔkpa dom	you are wearing slippers
afɔkpa	slippers	noun			e ɖo afɔkpa	you are wearing slippers
afɔkpa	shoe	noun		footwear that covers all of the foot		wear your shoes
afɔkpo	foot	noun			nye  afɔkpo	my foot
afɔkpodzi	heel	noun			afɔkui kple afɔkpodzi	toe and heel
afɔku	accident	noun			ʋu afɔku	car accident
afɔku	danger	noun			nye kpɔ afɔku	I see danger
afɔkui	toe	noun			afɔkui kple afɔkpodzi	toe and heel
afɔtsi	leg	noun			afɔtsi doloxoloxo	swollen leg
afɔwu	sock	noun			edo afɔwuiwo	you are wearing socks
afɔƒome	sole	noun			fiam wɔ afɔƒome	show me your soles
Afrika	Africa	noun				visit Africa
Afrikatɔ	African	noun		someone from Africa		I am an African
afu	dew	noun			ŋdime ƒe afu	morning dew
afume	cloudy	adjective			afume ƒe ŋkeke	a cloudy day
aƒa	snore	verb			me noa aƒa	I snore
aƒanono	snoring	noun			ɣlidodo aƒanono	loud snoring
aƒe	house	noun			aƒea	the house
aƒe	its	possessive		singular possessive pronoun for neuter gender objects	aƒe la wonyo	its house
aƒu	mist	noun			ŋdi aƒu	morning mist
aƒui	rainbow	noun			me kpɔ aƒui	I see a rainbow
aƒuƒui	mirror	noun				big mirror
agakpe	pillar	noun			tu agakpewo	build the pillars
agakpe	shield	noun			enye nye agakpe	He is my shield
agba	burden	noun			agba lolo ade	very heavy burden
agba	plate	noun			klɔ wɔ agba	wash your plate
agba	bowl	noun			agba dzitɔ	a red bowl
agba	plate	noun				wash your plate
agbadzedze	determination	noun			mia woekple agbadzedze	we will do it with determination
agbadɔ	shade	noun			me nɔ anyi de agbadɔte	I am sitting under the shade
agbagba	thrive	verb			adidiwo le agbagba dzem	the ants are thriving
agbagbladza	cockroach	noun		also known as a roach (American English)	me kpɔ agbagbladza	I see a cockroach
agbale	book	noun			agbale sia	this book
agbaledradoƒe	library	noun			mie yina agbaledradoƒe	we will go to the library
agbaledrafedo	lock	noun			mia yi de agbaledraƒedo la me	five locks
agbaledraƒedo	goal	noun			mia yi de agbaledraƒedo la me	score a goal
agbaledraƒedo dɔwɔƒe	post office	noun			me yina agbaledraƒedo dɔwɔƒe	I am going to the post office
agbalevi	paper	noun			egbe ƒe agbalevi	today's paper
agbalevi	ticket	noun			kpɔ nya agbalevi sia	look at my ticket
agbalevi	card	noun			agbalevi yi	a white card
agbalevi	letter	noun			ŋlɔ agbalevi	to write a letter
agbe	life	noun			nɔ wo fo agbenɔnɔ nyuie	live your life well
