_	a	determiner				a man and a woman
_	the	determiner				the house
a	lend	verb			mpa iuku riri	lend me this book
aciari	parents	noun			aciari bawe	his parents
Africa	Africa	noun			riunga Africa	visit Africa
Afrika	Africa	noun			Cera Afrika	visit Africa
aga bata	disgrace	verb			ugwe ni uku aga bata yakku	you are disgracing yourself
ageni	foreigner	noun			ageni bakuija	the foreigners have arrived
ageni	foreigner	noun			ageni bagukinya	the foreigners have arrived
ai	ouch	exclamation			ai! irina murimo	Ouch! It hurts
aja	here	noun		this place or this position	ita kuma aja	go from here
aka	build	verb			aka nyomba	build a house
aki	just	adjective			ni waa aki	it is just folly
akui	near	adverb		at a short distance	ijaija akui nani	pull near to me
amba	paste	verb			amba ruthingone	to paste it on the wall
ambia	start	verb			kwambia tene	to start early
ambiiria	begin	verb			ambiiria kuria	start eating
anda	plant	verb			anda muti	to plant a tree
andĩka	write	verb			kwandĩka marũa	to write a letter
antu	humankind	noun			turi antu	we are humankind
antu banaana	eight persons	noun			antu banaana ibeejite	eight persons are coming
antu betu	inlaw	noun			antu betu	our inlaws
antu kenda	nine persons	noun			antu kenda nibejite	nine persons are coming
ari	no	exclamation			nkuga ari	I say no
aria	there	noun		that place	aja na aria	here and there
aria	speak	verb			aria ma	to speak the truth
ariiria	bargain	verb			ariiria uguri	bargain over price
aritwa	student	noun			aritwa mirongo iri	twenty students
atha	govern	verb			atha Ghana	govern Ghana
athaki	cast	noun			athaki ba sinema	cast of a film
athukira	branch	verb			athukira aja	branch here
atia	how	adverb			atia kũria	how to eat
atomu	atom	science			atomu ĩkoragwo na niukirathi na erekituroni	an atom has a nucleus and electrons
au	just	preposition			Oriria akinyire au	just as he got there
awe	her	possessive			nyomba yawe	her house
baba	these	pronoun			antu baba bareja	these people came
babaingi	several	adjective			antu babaingi ibeejire	several people came
baisikili	bicycle	noun			baisikili injeru	new bicycle
baita	profit	noun			thithia baita	make profit
bajuuju batene	ancestor	noun			bajuuju batene bakwa	my ancestors
banga	plan	verb			kiongo kimwe gitibangaga	one head does not plan
banga	arrange	verb			banga iti	arrange the chairs
bathurumu	toilet	noun			ita bathurumu	go to the toilet
batithia	baptise	verb			batithia John	baptise John
bautwi	ourselves	pronoun			ya bautwi	for ourselves
bayoreti	violet	adjective			mahũa ma bayoreti	violet flowers
bendera	flag	noun			bendera ya yeluu	yellow flag
bengi	bank	noun			mbeca ciakwa ciĩ bengi	my money is at the bank
betha	silver	noun			betha na thahabu	silver and gold
bionthe	all	determiner			into bionthe	all things
