_	a	determiner				a man and a woman
abalị 	night	noun			elekere asatọ nke abalị	8 o'clock in the night
abalị	evening	noun			nri abalị	evening meal; dinner
abanyere-abanye	soaked	adjective			akwa abanyere-abanye	soaked cloth
abia	coming	noun			nkeji bia ahụ	the second coming
abu	song	noun			egwuregwu abu	play a song
abụba	fat	adjective			abụba ntì	fat cheeks
abụba-akwụkwọ	leaf	noun			abụba-akwụkwọ nrị	green leaf
abụọ 	two	adjective			enwere ololo/karama abụọ dị na ahụ aja	There are two bottles on the wall
acha	violet	adjective			acha ifuru	violet flowers
achicha	cake	noun			anyị uche eri achicha ahụ	we will eat the cake
achịcha	bread	noun			achịcha dị nnwalị	soft bread
achọrọ	want	verb			achọrọ m akwụkwọ anọ	I want four books
ada	fall	verb		move downward	eriri ada eluulo nke ụlọ ahụ	a rope fell from the roof of the house
adịgide adịgide	permanent	adjective			adịgide adịgide ọrụ	a permanent job
adreesị	address	noun			adreesị gị	your address
afọ 	stomach	noun			nnukwu afọ	big stomach
afọ 	year	noun			afọ ọhụrụ abịala	a new year has come
afo	abdomen	noun			afo nke nkịta	abdomen of a dog
afọ ememme	yearly	adjective			kwa afọ ememme	a yearly festival
afọ ọnụ	beard	noun			ogologo afọ ọnụ	long beard
afọ ọsịsa	diarrhoea	noun			mu nwere afọ ọsịsa	I have diarrhoea
Afrịka	Africa	noun			gaa mba Afrịka	visit Africa
aga	barren	adjective			nwanyị aga	barren woman
aga mmiri	beach	noun			aja aga mmiri	beach sand
agada	groin	noun			agada nwoke	groin of a man
agadi nwanyị	old lady	noun			agadi nwanyị m (nne m)	my old lady
agadi nwoke 	old man	noun			ọ bụ agadi nwoke	he is an old man
agafe	cross	verb			agafe iyi ahụ	cross the stream
agba	version	noun			agba nke ole?	which version?
agba	chin	noun			jide agba gị	hold your chin
agba egwu	dance	verb			ruo agba egwu na ọṅụ	to dance with joy
agbada 	pan	noun			agbada ochie	old pan
agbalị	try	verb			agbalị ọzọ	try again
agbamakwụkwọ	wedding	noun			anyị na aga agbamakwụkwọ	we are going to a wedding
agbasa	spread	verb			ọ na-agbasa n'ụwa nile	spread it
agbasa	spread	verb			agbasa ya	spread it
agbataobi 	neighbourhood	noun			anyị bị na ofu agbataobi	we live in the same neighbourhood
agbọọ	vomit	noun			agbọọ nkịta	dog's vomit
agbụrụ 	genealogy	noun			agbụrụ nke Nkruma	the genealogy of Nkruma
agbụrụ mmadu 	humankind	noun			anyị bụ agbụrụ mmadu	we are humankind
agbụsị	ant	noun			agbụsị karịrị puku	thousands of ants
agha	fight	verb			Ali na Frazier agha	Ali and Frazier fought
agha	battle	noun			anyị na-aga agha	we are going to battle
agha	war	noun			anyị na ga'a ruo agha	we are going to war
aghụghọ	cunning	adjective			aghụghọ nwanyị	a cunning woman
aghughọ	falsification	noun			asị na aghughọ	lies and falsifications
aghụghọ	trick	noun			kwụsị aghụghọ	stop the tricks
agu	tiger	noun			nnukwu agu	a large tiger
agụ	lion	noun			agụ na-eri anụ-ahụ	a lion eats flesh
agụ-mmiri	crocodile	noun			mmiri na-amasị agụ-mmiri	a crocodile likes water
agụba	scissors	noun			nyem agụba	give me the scissors
agụba 	razor	noun			mee agụba ka ọ dị nkọ	sharpen the razor
aguogbu	cheetah	noun			aguogbu bụ anụmanụ	a cheetah is an animal
aguu	hunger	noun			aguu na akpịrị ịkpọ-nkụ	hunger and thirst
agwa 	manner	noun			agwa ya na-atọ ọchị	his manner is amusing
agwa	bean	noun			osikapa na agwa	rice and beans
agwọ	snake	noun			agwọ enweghị ụkwụ	a snake has no legs
agwụagwụ	infinity	noun		the number ∞	ịwere efu kee ọnụọgụgụ ọbụla, ịga enweta agwụagwụ	if you divide any number by zero, you get infinity
ah	ah	exclamation			ah ee!	ah yes!
aha	name	noun			aha m	my name
aha-otutu	title	noun			ọnye kacha elu bụ aha-otutu	"Mighty One" is a title
ahapụ	leave	verb			ahapụ ya n'azu	leave it behind
ahịa 	market	noun			gaa ahịa	go to market
ahịhịa	grass	noun			efi na-ata ahịhịa	a cow chews grass
ahịhịa 	rubbish	noun			tufuo ahịhịa	throw away the rubbish
ahịhịa 	trash	noun			tufuo ahịhịa	throw away the trash
ahịhịa	waste	noun			yafuo ahịhịa	throw away the waste
ahịrị	fart	noun			nke ya ahịrị isi merụsịrị	her fart smells badly
ahịrị	fart	noun			ahịrị ya n'esi isi	her fart smells badly
ahịrịokwu	sentence	noun			okwu sonyere na-eme ka ahịrịokwu	words join to make sentences
ahọrọ	select	verb		make a selection	ruo ahọrọ akwụkwọ	to select a book
ahụ	body	noun			mmadụ bụ ahụ mkpụrụ obi na mmụọ	a person is body, soul and spirit
ahụ	flesh	noun			ahụ na ọbara 	flesh and blood
ahụ 	that	pronoun			nnunu ahụ	that bird
ahụ 	the	determiner			ụlọ ahụ	the house
ahụ aja	wall	noun			nọdụ na ahụ aja	sit on the wall
ahụ ike 	health	noun			nri na enye ahụ ike	food gives health
ahụ ọkụ	fever	noun			ọ nwere ahụ ọkụ	she has a fever
ahụ-aja	fence	noun			na-azụ ahụ-aja	behind a fence
ahụhụ	insect	noun			ochicha bụ ahụhụ	a cockroach is an insect
aiii	ouch	exclamation			Aii! Ọ na afụ ụfụ	Ouch! It hurts
aja	sand	noun			aja mmiri	beach sand
aja	fence	noun			na azụ aja	behind a fence
aja eji-alụ ụlọ 	cement	noun			okwute na aja eji-alụ ụlọ	stones and cement
aja ụpa	clay	noun			ite eji aja ụpa mee	clay vase
ajịị 	hair	noun			ajịị ugwulugwu	chest hair
ajọ obi	wicked	adjective			ị nwere ajọ obi	you are very wicked
ajọ obi	wickedness	noun			aka ntagide gị na ajọ obi gị	your stinginess and your wickedness
ajụ-azaa	puzzle	noun			ajụ-azaa na gwam gwam gwam	puzzles and riddles
ajụala	cobra	noun			ajụala ojii	black cobra
ajuju	question	noun			enwere m ajuju	I have a question
aka	arm	noun			welie aka gị	lift up your arm
aka	hand	noun			welịte aka gị	lift up your hand
aka-ntagide	miserly	adjective			ọnwere aka-ntagide	he is miserly
akaebe	testament	noun			akaebe ọhụrụ	new testament
Akan	Akan	noun		a language group originating from West Africa	a na m asụ asụsụ Akan	I speak Akan
akara	sign	noun			akara nchekwube	a sign of hope
akara	line	noun			bọọlụ ahụ gafere akara	the ball has crossed the line
akara njirimara	logo	noun			akara njirimara ụlọ ụka	church logo
akara-nrụbama	symbol	noun			akara-nrụbama ikikere	symbol of power
akaụntụ	account	noun		a description of events	akaụntụ ulo akụ	bank account
akpa	sack	noun			ọnweghị ịhe dị na akpa m	nothing inside my sack
akpa	bag	noun			lee akpa ahụ anya	look at the bag
akpa abụ	armpit	noun			akpa abụ na-esi isi	smelly armpit
akpa nwa	womb	noun			akpa nwa nwanyị	female's womb
akpa-akwa	pocket	noun			ọnweghị ịhe dị n'ime akpa-akwa m	nothing inside my pocket
akpata-oyi	goosebumps	noun			enwere akpata-oyi	I have got goosebumps
akpị	scorpion	noun			akpị ojii	a black scorpion
akpịrị	throat	noun			kwachaa akpịrị gị	clear your throat
akpọchi	lock	noun			akpọchi ise	five locks
akpọmasị	hatred	noun			akpọmasị enweghị ọgwụgwọ	hatred has no cure
akpụ	cassava	noun			akpụ na unere	plantain and cassava
akpụkpọ	skin	noun			akpụkpọ kpọrọ nkụ	dry skin
akpụkpọ ụkwụ	shoe	noun		footwear that covers all of the foot	yiri akpụkpọ ụkwụ gị	wear your shoes
akpụkpọ-ụkwụ	shoe	noun		footwear that covers all of the foot	yịrị akpụkpọ-ụkwụ gị	wear your shoes
akpụkpọ-ụkwụ	slippers	noun			ịyị akpụkpọ-ụkwụ	you are wearing slippers
akụkọ	story	noun			gwa mu akụkọ	tell me a story
akụkọ 	news	noun			akụkọ obodo	news of the realm
akụkọ mbụ 	history	noun			mụọ akụkọ mbụ	learn history
akụkụ	corners	noun			akụkụ nile nke elu ụwa	all corners of the world
akụkụ	part	noun			akwụkwọ ahụ nwere akụkụ atọ	the book has three parts
akụrụ	kidney	noun			nwamba nwere akụrụ	a cat has a kidney
akụziri	teach	verb			ruo akụziri mgbakọ na mwepụ	to teach mathematics
akwa 	clothes	noun			gote akwa	buy clothes
