_	a	determiner				a man and a woman
_	the	determiner				the house
asema	white	adjective			nzo asema	white house
atambi	plant	verb			kuatambi n'ti	to plant a tree
atomu	atom	science			atomu kelena nukulo na eletreo	an atom has a nucleus and electrons
bau	they	pronoun		used to indicate people, or things, previously mentioned	bau kedia	they eat
beno	yous	pronoun		Also written as "you". second person plural subject. Used to indicate people being addressed.	beno kedia	yous eat
beto	we	pronoun		used to indicate oneself and others	beto kedia	we eat
bubu yai	today	adverb			yandi kelwaka bubu yai	she arrives today
dia	eat	verb			kudia mvimba	to eat everything
dilala	orange	noun			dilala tatu	three oranges
disu	eye	noun			disu na nse za meso	eye and eyebrow
e	yes	exclamation			mu kevova e	I say yes
enda	go	verb			kuenda lukolo	to go to school
fonga	sit	verb			kufonga vava	to sit here
go	or	conjunction			Kofi go Ama	Kofi or Ama
ivwa	nine	adjective		The number 9	nkalu ivwa	Nine bottles
iya	four	adjective		The number 4	nkalu iya	There are four bottles on the wall
kanda	family	noun			kanda ya mpa	new family
kimbufuna	balloon	noun			kimbufuna kole	two balloons
kinzu	pan	noun			kinzu ya nkulu	old pan
kliki	click	verb			kukliki vava	click here
kompyuta	computer	noun			ndoda ya kompyuta	computer keyboard
ku yanda	down	adverb			kuenda ku yanda	go down
kuiza	come	verb			kukuiza vava	to come here
kulu	leg	noun			kulu	swollen leg
kumbi dya n'toto	train	noun			kumbi dya n'toto ya ampa	new train
kumi	ten	adjective		the number 10	nkalu kumi	ten bottles
kumi na ivwa	nineteen	adjective		the number 19	nkalu kumi na ivwa	nineteen bottles
kumi na iya	fourteen	adjective		the number 14	nkalu kumi na iya	fourteen bottles
kumi na mosi	eleven	adjective		the number 11	nkalu kumi na mosi	eleven bottles
kumi na nana	eighteen	adjective		the number 18	nkalu kumi na nana	eighteen bottles
kumi na sambanu	sixteen	adjective		the number 16	nkalu kumi na sambanu	sixteen bottles
kumi na sambwadi	seventeen	adjective		the number 17	nkalu kumi na sambwadi	seventeen bottles
kumi na tanu	fifteen	adjective		the number 15	nkalu kumi na tanu	fifteen bottles
kumi na tatu	thirteen	adjective		the number 13	nkalu kumi na tatu	thirteen bottles
kumi na zole	twelve	adjective		the number 12	nkalu kumi na zole	twelve bottles
kunda	chair	noun			kubika kunda	arrange the chairs
kutu	ear	noun			kutu na mbombo	ear and nose
kyula	frog	noun			kyula	a frog likes water
longa	plate	noun			komba longa lange	wash your plate
lukasa	bean	noun			loso na nkasa	rice and beans
lukau	gift	noun			lukau ya mbote	a good gift
