_	a	determiner				a man and a woman
_	the	determiner				the house
a langi ya mayi ma vino	purple	adjective			fololo ya langi ya mayi ma vino	purple flower
administrasyo	administration	noun		the process of running an organization	administrasyo na ye  epesaki  developma	her administration brought progress
aeroport	airport	noun			Nakei na aeroport	I'm going to the airport
Afrik	Africa	noun			kotambola na Afrik	visit Africa
Afriken	African	noun			nazali Afriken	I am an African
agresyo	aggression	noun			agresyo mingi	too much aggression
ah	ah	exclamation			ah ee!	ah yes!
Akan	Akan	noun		a language group originating from West Africa	nalobi Akan	I speak Akan
akyso	action	noun			monisa ngai aksyo	show me the action
Algérie	Algeria	noun			kende na Algérie	go to Algeria
alulu	spider	noun			twale ya alulu	spider's web
aluminyu	aluminium	science			aliminyu (AI) eza na protone 13	aluminium (Al) has 13 protons
ananas	pineapple	noun			jus ya ananas	pineapple juice
Angle	English	noun			nasololaka lokota ya angle	I speak English
anjeniere	engineer	noun			anjeniere azobongisa bautile	an engineer makes tools
ankre	ink	noun			ankre na kati stilo	ink in a pen
antrenere	coach	noun			antrenere ya ekipe ya ndembo	a football team coach
anyataki pate	dough	noun			anyataki pate	he pressed the dough
aplikasyo	application	noun			aplikasyo ya koluka mosala	job application
appelasyo	appellation	noun			sakola appelasyo naye	proclaim her appellations
argo	argon	science			argo (Ar) eza na protone 18	argon (Ar) has 18 protons
aspirasyo	aspiration	noun			aspirasyo malamu	good aspirations
atomu	atom	science			atomu eza  na nwaye na elektron	an atom has a nucleus and electrons
aubergine	eggplant	noun			supu ya aubergine	eggplant stew
avio	plane	noun		aeroplane, airplane	kokota na avio	board a plane
avoka	bribe	noun			a lingi avoka	he wants a bribe
avoka	lawyer	noun			avoka minei	four lawyers
awa	here	adverb			fina awa	click here
awa	here	noun		this place or this position	kende kobima awa	go from here
azote	nitrogen	science			azote (N) eza na protone 7	nitrogen (N) has 7 protons
baboti	parents	noun			baboti naye	his parents
bajeti	budget	noun			bajeti ya mbula oyo	this year's budget
bakisa	add	verb			bakisa sukali	add sugar
bakisama	increase	verb			miyibi ebakisami	burglary is increasing
bala	marry	verb			bala ngai	marry me
bala-bala	street	noun			bala-bala ya sika	new street
balabala	highway	noun			mituka na kati ya balabala	cars on a highway
balabala	street	noun			balabala ya sika	new street
balanswar	swing	noun			kosakana balanswar	play on a swing
balene	whale	noun			balene munene	a large whale
baluka	change	verb			soki ngonga ebaluki, baluka na tango	if time changes, change with the times
bamba	paste	verb			kobamba yango na efelo	to paste it on the wall
banda	start	verb			kobanda na ntongo	to start early
banda	begin	verb			banda kolia	start eating
