_	a	determiner				a man and a woman
_	the	determiner				the house
abakozi	staff	noun			abakozi ba kabaka	the king's staff
abalwanyi	warriors	noun			abalwanyi bajja	the warriors are coming
abantu mwenda	nine persons	noun			abantu mwenda bajja	nine persons are coming
abavubuka	youth	noun			mubuvubuka bwange, nali nyina amanyi	in my youth, I was strong
abazadde	parents	noun			abazadde ba omulenzi oyo	his parents
abedda	ancestor	noun			abantu bange abedda	my ancestors
accounti	account	noun		a description of events	accounti ya banka	bank account
Afirika	Africa	noun			kyalira ko Afirika	visit Africa
agala	like	verb			ekikere kyagala amazzi	a frog likes water
akabeenje	accident	noun			akabeenje k'emmotoka	car accident
akabina	bum	noun			akabina akanene	large bum
akabina	buttocks	noun			akabina akanene	big buttocks
akabinja	grove	noun			akabinja ka emyoyo	grove of spirits
akabonero	symbol	noun			akabonero k'engule	symbol of power
akabonero	logo	noun			akabonero k'ekkanisa	church logo
akaddukano	diarrhoea	noun			nze ndina akaddukano	I have diarrhoea
akade	bell	noun			akade k'esomero	school bell
akagaali	bicycle	noun			akagaali akapya	new bicycle
akagere	toe	noun			akagere n'ekisinziiro	toe and heel
akaggumiza	full stop	noun		indicates the end of a sentence, or, the separation of a whole number and the fraction components	n'akaggumiza ku nkomerero y'ekigambo	add a full stop after the word
akajulo	sentence	noun			ebigambo bye gatta okukola akajulo	words join to make sentences
akakongovule	ankle	noun			obukongovule bwo	your ankles
akakuufu	necklace	noun			akakuufu ka essanga	ivory necklace
akalobo	pail	noun			akalobo ne ssabuuni	pail and soap
akalobo	bucket	noun			akalobo katonya	the bucket leaks
akambe	knife	noun			akambe akawagale	sharpen a knife
akambe	knife					sharpen a knife
akamweenyomweeny	smile	verb			akamweenyomweeny katono	to smile a bit
akamyu	rabbit	noun			akamyu ak'enjeru	a white rabbit
akamyu	rabbit	noun			akamyu akeru	a white rabbit
Akani	Akan	noun		a language group originating from West Africa	yogera akani	I speak Akan
akanyogoga	cool	adjective			ka beer akanyogoga	a cool beer
akapale komunda	drawers	noun			oyambadde akapale komunda	are you wearing drawers?
akasana	sunny	adjective			olunaku lw'akasana	a sunny day
akasengejja	collander	noun			kozesa akasengejja osengjje omuceere	use the collander to drain the rice
akasenya	toothbrush					toothbrush and toothpaste
akasonga	pointer	noun		(Computing) a graphical image on the computer monitor or other display device that echoes movements of the pointing device, commonly a mouse or touchpad.	kozesa akasonga	use the pointer
akatto	pillow	noun			akatto ne obuliri	pillow and bed
akatyabaga	plague	noun			teliyo butyabaga eyo	no plagues there
