_	a	determiner				a man and a woman
_	the	determiner				the house
a	ah	exclamation			a e	ah yes!
a malo	rise	verb			ka kwach a malo	if a tiger rises
aa	no	exclamation			awacho ni aa	I say no
abich	five	adjective		The number 5	chupni abich	Five bottles
abiryo	seven	adjective		The number 7	chupni abiryo	seven bottles
aboro	eight	adjective		The number 8	chupni aboro	Eight bottles
acham	left	adjective			dhi acham	go left
achaya	diss	noun			ok en achaya	it is not a diss
achiel	unity	noun			achiel gi kwe	unity and peace
achiel	one	adjective			nitie chupa achiel ma ochunge e wi ot	There is one bottle standing on top of the house
achuth	vulture	noun			achuth en winyo	a vulture is a bird
adek	three	adjective		The number 3	chupni adek	three bottles
adhola	cancer	noun			adhola olal	the cancer has disappeared
adhong'	blow	noun			mie adhong'	give him a blow
adhula	soccer	noun			piem mar adhula	football competition
adier	truly	adverb			adier Nyasaye ber	truly God is good
adieri	true	adjective			en adieri	it is true
adieri	truth	noun		state or quality of being true to someone or something	ne owacho adieri	she spoke the truth
adires	address	noun			adires mari	your address
Afrika	Africa	noun			lim Afrika	visit Africa
agon	argon	science			agon (Ar) nigi protons 18	argon (Ar) has 18 protons
agulu	account	noun		a description of events	agulu mar bengi	bank account
agulu	jar	noun			agulu abiryo	seven jars
agulu	vase	noun			agulu mar loo	clay vase
agulu	pot	noun			agulu mar chuma	metal pot
aguragura	horse	noun			aguragura ma rachar	white horse
aidha	squirrel	noun			aidha ohero jungu mar nas	a squirrel likes palm nuts
aidrogen	hydrogen	science			aidrogen (H) nigi proton 1	hydrogen (H) has 1 proton
ajwoga	wizard	noun			ng'at ma ajwoga	he is a wizard
akuru	dove	noun			akuru ma rachar	white dove
akwayi	please	adverb			wacho ni 'akwayi'	to say 'please'
akweda	discord	noun			miriambo gi akweda	lies and discord
Algeria	Algeria	noun			dhi Algeria	go to Algeria
alufu achiel	thousand	adjective		the number 1000	chupa alufu achiel	thousand bottles
aluminiam	aluminium	science			aluminiam (Al) nigi protons 13	aluminium (Al) has 13 protons
ambrela	umbrella	noun			bet e bwo ambrela	sit under the umbrella
an	I	pronoun		used to indicate oneself	an achiemo	I eat
an	me	pronoun			an kodi	me and you
andiko	print	verb			andiko mar mbui	print the email
ang'o	why	adverb			En ang'o	why so?
ang'o	so	conjunction			nikech ang'o?	why so?
ang'o	what	pronoun			mano ang'o?	what is that?
ang'wen	four	adjective		The number 4	nitie chupni ang'wen e kor ot	There are four bottles on the wall
angul	angle	noun		the length of turn between two straight lines that meet	angul ariyo	two angles
