_	a	determiner			lehilahy sy vehivavy	a man and a woman
adala	fool	noun			adala	Fool! Dimwit!
adihevitra	argument	noun			adihevitra maro	many arguments
adiresy	address	noun			adiresinao	your address
adiresy	address	noun			adiresy anao	your address
ady	battle	noun			ho any an'ady isika	we are going to battle
afo	fire	noun			areheto ny afo	light the fire
Afrika	Africa	noun			tsidio Afrika	visit Africa
Afrikana	African	noun			Afrikana aho	I am an African
ahiahy	doubt	noun			manana ahiahy izy	she has doubts
aho	I	pronoun		used to indicate oneself	mihinana aho	I eat
ahoana	why	adverb			ahoana izao?	why so?
ainga vaovao	revival	noun			misy ainga vaovao eto an tanàna	revival has come to town 
aiza	where	adverb			aiza ianao no mipetraka	where do you live?
akalana	stool	noun			mipetraha eo amin'ny akalana	sit on the stool
Akan	Akan	noun		a language group originating from West Africa	Miteny akan aho	I speak Akan
akanjo	dress	noun			akanjo manga	blue dress
akanjo	cloth	noun			manaova akanjo	wear cloth
akoho	chicken	noun			henan'akoho	chicken meat
akoholahy	cockerel	noun			maneno ny akoholahy	a cockerel is crowing
akondro	banana	noun			tian'ny rajako	a monkey likes bananas
akondro manta	plantain	noun			akondro manta sy mangahazo	plantain and cassava
akora	shell	noun			akoran'ny foza	shell of a crab
ala	forest	noun			biby any an'ala	animals in the forest
ala	forest	noun			biby ao an'ala	animals in the forest
Alahady	Sunday	noun			Miasa ny Alahady i Kwasi sy Akosua	Kwasi and Akosua are Sunday children
alahelo	disgrace	noun			henatra sy alahelo	shame and disgrace
alahelo	grief	noun			mamono ahy ny alahelo	grief is killing me
alaivo	get	verb			alaivo ny boky	get the book
Alakamisy	Thursday	noun			Alakamisy ho an'ny ankizy	Thursday children
Alarobia	Wednesday	noun			Alarobia ho an'ny ankizy	Wednesday children
Alatsinainy	Monday	noun			Alatsinainy ho an'ny ankizy	Monday children
alika	dog	noun			mivovo ny alika	a dog barks
aliminioma	aluminium	science			manana protona 13 ny Aliminioma (Al)	aluminium (Al) has 13 protons
alina	night	noun			amin'ny valo ora alina	8 o'clock in the night
aloha	early	adverb			tongava aloha	come early
aloka	shade	noun			mipetraka eto  amin'ny aloka aho	I am sitting under the shade
ambadika	back	noun		rear or reverse surface of a thing	ambadiky ny varavarana	the back of the door
amboadia	wolf	noun			amboadia roa	two wolves
ambony	up	adverb			mijere ambony	look up
amponga	drum	noun			henoko ny amponga	I hear the drums
amponga	cymbal	noun			lalaovy ny amponga	play the cymbals
amponga	gong gong	noun			velezo ny amponga	play the gong gong
an-tokotany	outdoors	noun			mandehana any an-tokotany	go outdoors
anabavy	sister	noun			ny anabavy ko tokana	my only sister
anadahy	brother	noun			ny anadahy ko tokana	my only brother
ananana	owe	verb			anananao aho	I owe you
anao	your	possessive		2nd person singular possessive pronoun	tranonao	your house
anarana	name	noun			anarako	my name
anay	us	pronoun			asehoy anay	show us
andeha	let	verb			andeha hanangana tarika isika	let us found a group
andraikitra	responsibility	noun			andraikitrao izany	it is your responsibility
andramo	taste	verb			andramo ny sakafo	taste the food
andriamanitra	god	noun			andriamanitra azo itokiana	dependable god
andriamatoa	sir	noun			misaotra Andriamatoa	I thank you sir
andro	day	noun			tonga ny andro	the day has arrived
androngo	lizard	noun			mihinana bozaka ny androngo	a lizard eats grass
angady	hoe	noun			angady sy antsy	hoe and cutlass
angano	fable	noun			tsy mino angano ny hafa	one does not believe fables
Anglisy	English	noun			miteny Anglisy aho	I speak English
anio	today	adverb			tonga anio izy	she arrives today
anjara	share	noun			aiza ny anjarako	where is my share?
anjomara	horn	noun		musical instrument with deep voice	mozika anjomara	horn music
anjomara	horn	noun		musical instrument with deep voice	anjomaran'ny mozika	horn music
anjomaran'ady	warhorn	noun			tsofy ny anjomaran'ady	blow the warhorn
ankasa	even	mathadj			isa ankasa ny roa	2 is an even number
ankihibe	thumb	noun			ampiasao ny ankihibenao rehefa  hifidy	use your thumb to vote
ankihibe	thumb	noun			ampiasao ny ankihibenao rehefa mifidy	use your thumb to vote
antenimiera	parliament	noun			fidio ho any amin'ny antenimiera izy	elect her to go to parliament
antitra, tranainy	old	adjective			vilany antitra, tranainy	old pan
antokotany	outside	noun			mandehana any antokotany	go outside
antony	reason	noun			misy antony ny zavatra rehetra	everything has a reason
antsasany	half	noun		one out of two equal divisions	iray sy antsasany	one and half
