_	a	determiner				a man and a woman
a'aa	ouch	exclamation			a'aa! ni midhaa	Ouch! It hurts
aara	smoke	noun			aara hudhuu	belch smoke
abaaboo	flower	noun			abaaboo bareedduu	pretty flower
abaaramummaa	wickedness	noun			qorqoddummaa kee fi abaaramummaa kee	your stinginess and your wickedness
ababilee	ancestor	noun			ababilee koo	my ancestors
abbaa	father	noun			ijoollee abbaakoo obboleeyyan koo dha	my father's child is my sibling
abbaa idaa	owe	verb			an abbaa idaa ati	I owe you
abboomuu	command	verb			kara abboomuu lotuu	to command a soldier
abbuudduu	thumb	noun			nuti kee abbuudduu kara filuu	use your thumb to vote
abdii	hope	noun			Ani abdiin qaba	I have hope
absaala	song	noun			tapha absaala	play a song
abukaattoo	lawyer	noun			afur abukaatoo	four lawyers
achi	there	noun		that place	asi fi achi	here and there
adaadaa	aunt	noun		female relative of your mother	adaadaa Amaa	Aunt Ama
adda	forehead	noun			adda ishee laali	look at her forehead
addee	madam	noun			addee meerii	madam Mary
addunyaa	world	noun			ijoollee addunyaa	children of the world
adii	white	adjective			mana adii	white house
Adooleessa	July	noun			Adooleessa bultii 31 qaba	July has 31 days
adurree	cat	noun			adurreen eegee qabdii	a cat has a tail
aduu	sun	noun			aduun ifaat jirti	the sun is shining
aduu qabu	sunny	adjective			aduu qabu guyyaa	a sunny day
aduun baate	sunrise	noun			biftuun lixxee hanga aduun baatu	from sunrise to sunset
afaa	carpet	noun			haaraa afaa	new carpet
afaala	floor	noun			afaala iraa	on the floor
afaan	language	noun			afaan hedduu	many languages
afaan	mouth	noun			afaan koo	my mouth
afamaa	mat	noun			afamaa diriirsii	spread out a mat
Afriikaa	Africa	noun			Afriikaa daaw'achuu	visit Africa
afur	four	adjective		The number 4	gidaara irratti xarmuushii afur ni jiruu	There are four bottles on the wall
afurtamaa	forty	adjective		the number 40	xarmuushii afurtamaa	forty bottles
afuufuu	balloon	noun			afuufuu lama	two balloons
afuufuu	blow	verb			qilleensa afuufuu	blow air
afuura	spirit	noun			ini afuura cimaa qaba	he has a strong spirit
ajaa'ibaa	wonder	noun			ajaa'ibaa fi jaalala	wonder and love
ajjeesaa	murder	noun			hamii fi ajjeesaa	gossip and murder
ajjeesaa	murderer	noun			inni ajjeesaa dha	he is a murderer
ajjeesuu	kill	verb			re'ee ajjeesuuf	to kill a goat
Akaaniffaa	Akan	noun		a language group originating from West Africa	An Akaaniffaa ni dubbadha	I speak Akan
akeekkachiisaa	warning	noun			akeekkachiisaa dhaggeffadhaa	listen to the warning
akkaakayyuu	grandfather	noun			ko akkaakayuu	my grandfather
akkam	hello	exclamation			akkam obbo	hello sir
akkas	so	conjunction			maaliif akkas	why so?
akkoo	grandmother	noun			ko akkoo	my grandmother
ala	outdoors	noun			ala deemi	go outdoors
ala	outside	noun			ala deemi	go outside
alaabaa	flag	noun			alaabaa kelloo	yellow flag
alagaa	foreigner	noun			alagaan gahaani	the foreigners have arrived
alagaa	stranger	noun			sadi alagaa	three strangers
aluuminiiyamii	aluminium	science			aluminiyamii (Al) protoonii 13 qaba	aluminium (Al) has 13 protons
alwaadaa	kitchen	noun			ani alwaadaa kessaatti jiraa	I am in the kitchen
amaaket	cheetah	noun			amaaket bineensa	a cheetah is an animal
Amajjii	January	noun			Amajjiin bultii 31 qaba	January has 31 days
amala	disposition	noun			amala nama	a person's disposition
amala	habit	noun			amala gadhee	bad habit
amala	manner	noun			amala isaa kofalchiisaa dha	his manner is amusing
amala	character	noun			amala ishee	her character
amaleensa	weather	noun			nuhi qabdii tolaa amaleensa	we have good weather
amanti	faith	noun			amanti fi nageenya	faith and peace
amantii	confidence	noun			an qabdii amantii	I have confidence
amanuu	believe	verb			Koofii amanii	believe Kofi
an	I	pronoun		used to indicate oneself	an ni nyaadha	I eat
anaanaasii	pineapple	noun			juusii anaanaasii	pineapple juice
anaaxii	carpenter	noun			inni anaaxii	he is a carpenter
ani	me	pronoun			ani fi ati	me and you
anniisaa	charge	science			eleektiriikaan anniisaa poozatiivii fi anniisaa neegeetiivii qaba	electricity has positive charge and negative charge
anniisaa	energy	science			ulfina gara anniisaa jijjiiruu dandessa	you can change mass into energy
arba	elephant	noun			arba baayyee guudaa dha	an elephant is very big
ardii	continent	noun			ardii Afriikaa	African continent
areeda	beard	noun			areeda dheeraa	long beard
argachuu	get	verb			kitaaba argachuu	get the book
arganii	argon	science			arganii (Ar) protoonii 18 qaba	argon (Ar) has 18 protons
arguu	look	verb			gara mucaa argii	look at the boy
arifataan	quickly	adverb			arifataan demtaa	you walk quickly
ariirrata	preface	noun			ariirrata kitaaba	book preface
arraba	tongue	noun			saree's arraba	dog's tongue
arraba	insult	noun			arrabota hedduu	many insults
arrabsuu	diss	noun			arrabsaa miti	it is not a diss
arrigoo	toilet roll	noun			kara bituu mana fincaanii arrigoo	to buy toilet roll
ashandaa	gutter	noun			bishaan ashandaa keessaa jiraa	there is water in the gutter
asi	here	adverb			asi cuqaasuu	click here
asi	here	noun		this place or this position	asi irraa deemi	go from here
asxaa	logo	noun			asxaa mana bataskaanaa	church logo
atamii	atom	science			atamiin nuuklasii fi elektroonii qaba	an atom has a nucleus and electrons
ati	you	pronoun		second person singular subject pronoun. Used to indicate one person being addressed	ati nyaadhuu	you eat
attam	how	adverb			attam kara nyaachuu	how to eat
awwala	funeral	noun			ani awwalan deemaa	I am going to a funeral
ba'achuu	carry	verb			kitaaba ba'adhuu	carry the book
ba'uu	withdraw	verb			ishee eeyyama ba'uu maallaqa	she will withdraw money
baabura geejjibaa	train	noun			baabura geejjibaa haaraa	new train
baala	foliage	noun			muruu iti baala	cut the foliage
baala	leaf	noun			baala magariisuu	green leaf
baaldii	pail	noun			baaldii fi saamunaa	pail and soap
baaldii	bucket	noun			baaldiin ni dhangalaasa	the bucket leaks
baallee	feather	noun			baalloota shimbiirroo	bird's feathers
baankii	bank	noun			qarshiikoo baankii irraa jiraa	my money is at the bank
baasketi	basket	noun			baasketi baadhuu	carry a basket
baasuu	split	verb			baasuu lama	split in two
baatirii	battery	noun			haaraa baatrii	a new battery
baawaa	spade	noun			saddwta baawaa	eight spades
baawuloojii	biology	noun		the study of living things	nuhi beekumsa baawuloojii	we are learning biology
baay'ina	quantity	noun			baay'ina nyaata	quantity of the food
bacoo	bedbug	noun			kara ajjeesuu bacoo	to kill bedbugs
badaa	bad	adjective			saree badaa	bad dog
badhaadhiina	prosperity	noun			nagaa fi badhaadhiina	peace and prosperity
badhaasa	award	noun			isheef badhaasa kennii	give her an award
baga gammadde	congratulations	noun			baga gammaddee fi bayeessa	congratulations and well done
baga nagaan dhuftan	welcome	exclamation			baga nagaan dhuftan	welcome welcome!
bajata	budget	noun			kun bara bajata	this year's budget
bakakkaa	thunderbolt	noun			sagalee gudda bakakkaa	a loud thunderbolt
bakakkaa	thunder	noun			bubbee bakakkaa wajjiin	storm with thunder
bakka buusa	compensation	noun			bakka buusa kee fudhatte	have you received your compensation?
bal'ina	area	math		a quantity that represents the size of a surface	bali'na (rektaanglii)= dheerina X dalgeeta	area (rectangle) = length x width
balbala	door	noun			balbala cufaa	close the door
balfaa	dirt	noun			balfaa fi dhukkubaa	dirt and disease
balleessuu	destroy	verb			wanta hunda balleessuu	destroy everything
banuu	open	verb			ani balbala banee	I open the door
bara	year	noun			bara har'a dhufee	a new year has come
barachuu	learn	verb			isaan afaan barachaa jiruu	they learn a language
bararii	cockroach	noun		also known as a roach (American English)	ani bararii argee	I see a cockroach
barataa	student	noun			barattootaa diigdama	twenty students
barbaaduu	need	verb			maati barbaaduuf	to need family
barbaaduu	find	verb			jecha barbaaduu	find the word
barbaree	pepper	noun			barbaree ni gubaa	the pepper burns
barcuma	chair	noun			barcumota sirressii	arrange the chairs
barcumaa	stool	noun			barcumaa iraa taa'ii	sit on the stool
bareedduu	beautiful	adjective			bareeddaa dha	it is beautiful
bareedina	beauty	noun			bareedina fi jaalala	beauty and love
barii	dawn	noun			kana barii gadlakkisinaa	we will leave here at dawn
barii	daybreak	noun			barii fi galgala	daybreak and nightfall
barreessaa	writer	noun			ani barreessaa dha	I am a writer
barreessuu	write	verb			xalayaa barreessuuf	to write a letter
barreessuu iccitii	code	noun			kara barreessuu iccitii	to write code
barsiisaa	teacher	noun			ani barsiisaa dha	I am a teacher
barsiisuu	teach	verb			herreega barsiisuuf	to teach mathematics
barumsa	education	noun			fayyaa fi barumsa	health and education
bataskaana	church	noun			gara bataskaana deemi	go to church
batoo	paddle	noun			bidiruu fi batoo	canoe and paddle
battaluma	soon	adverb			ishee dhufuu battaluma	she is coming soon
beekamaa	famous	adjective			beekamaa nama	famous person
beeksiisaa	announcement	noun			beeksiisa dubbisii	read the announcement
beekumsa	knowledge	noun			beekumsa hunda addunya keessaa	all knowledge in the world
beekuu	know	verb			ani isheen beekaa	I know her
beela	hunger	noun			beela fi dheebu	hunger and thirst
Beenin	Benin	noun		A country in Africa	gara Beenin deemaa	go to Benin
beeqeelaa	bean	noun			ruuzii  fi beeqeelaa	rice and beans
beriiliyamii	beryllium	science			beriiliyamii protoonii 4 qaba	beryllium (Be) has 4 protons
biddiqqoo	t-shirt	noun			adii biddiqqoo	white t-shirt
bidiruu	canoe	noun			bidiruu fi batoo	canoe and paddle
bidiruu	boat	noun			bidiruu diimaa	red boat
bidoollee	habitat	noun			bidoollee bineensa	habitat of animals
bifaa	shape	noun			bifaa mana	the shape of the house
biiftuun lixxee	sunset	noun			aduun baate hanga biftuun lixxuu	from sunrise to sunset
biillaacha	butterfly	noun			biillaacha bareedaa dha	a butterfly is beautiful
biiraa	beer	noun			nuhi biiraa dhuugaa jiraa	we are drinking beer
biiroo	office	noun			biiroo haadhakoo	the office of my mother
bilbila	phone	noun			bilbilashi	her phone
bilbiluu	call	verb			mucaaf bilbiluu	to call the boy
bilcheessuu	cook	verb			ruuzii xiqqoo bilcheessuu	cook a little rice
bilisummaa	freedom	noun			bilisummaa fi haqa	freedom and justice
binbbee	mosquito	noun			binbbee nanyaatte	a mosquito has bitten me
biqiltuu	plant	noun			biqiltuu diimaa	red plant
birtukaanii	orange	noun			birtukaanii sadii	three oranges
bishaan	water	noun			bishaan ni dhugdaa	you drink water
biskiliitii	bicycle	noun			biskiliitii haaraa	new bicycle
bismaara	nail	noun			saanqaa fi bismaara	plank and nail
Bitooteessa	March	noun			Bitooteessa guyyoota 31 qaba	March has 31 days
bituu	buy	verb			wanta bituu	to buy something
bituu	purchase	verb			bituu xinnoo wanta	purchase a few things
biyya	state	noun			salphisaa biyya kenyaa ilaalii	look at our pitiful state
biyya	country	noun		a community of people living in a place with full self-government	biyyakoo	your country
biyya alaa	abroad	noun			isheen biyya alaa deemtee	she goes abroad
biyyoo	earth	noun			namoota biyyoo	people of the earth
bloogii	blog	noun			bloogii nyaata	food blog
bobaa	armpit	noun			bobaa urga'uu	smelly armpit
bodiis	bodice	noun			isheen bodiis uffattee	she wears a bodice
bofa	snake	noun			bofa mila hin qabu	a snake has no legs
boo'uu	cry	verb			yeroo hunda boo'uu	to cry each time
booda	behind	preposition			deemi booda	go behind
boodarra dhufuu	consequence	noun			boodarra dhufuu isaa	its consequences
boollaa	pit	noun			boollaa qotii	dig a pit
boora	yellow	adjective			alaabaa boora	yellow flag
booyyee	pig	noun			booyyeen murasaa bildiimoo dha	some pigs are pink
boqqoolloo	corn	noun			boqqoolloo fi ocholooni	corn and groundnuts
boraatii	pillow	noun			boraatii fi siree	pillow and bed
boronqii	chalk	noun			adii boronqii	white chalk
boroonii	boron	science			boroonii (B) protoonii 5 qaba	boron (B) has 5 protons
boru	tomorrow	adverb			ishiin boru gessiiti	she will arrive tomorrow
bosona	forest	noun			neefekaa keessa bosona	animals in the forest
bu'aa	profit	noun			bu'aa qabuu hojjachuu	make profit
bubbee	storm	noun			bubbee bakakkaa wajjiin	storm with thunder
bulala	dove	noun			bulala adii	white dove
bulchiinsa	governance	noun			bulchiinsa gaarii	good governance
buna	coffee	noun			ishee dhuguu buna	she drinks coffee
buphaa	egg	noun			buphaa indaanqoo	chicken egg
burtukaana	orange	adjective			koffiyyaa burtukaana keewwadhuu	wear the orange cap
burusha ilkaanii	toothbrush	noun			burusha ilkaanii fi saamunaa ilkaanii	toothbrush and toothpaste
buruusa	hammer	noun			buruusa fi bismaara	hammer and nail
busaa	malaria	noun			busaan dhukkuba dha	malaria is a disease
Buurkiinaafaasso	Burkina Faso	noun			gara Buurkiinaafaasso deemaa	go to Burkina Faso
Caamsa	May	noun			Caamsa guyyoota 31 qaba	May has 31 days
calaltuu	collander	noun			ruuzii calaluuf calaltuu fayyadamii	use the collander to drain the rice
callisaa	silence	noun			callisaa, callisaa!	silence, silence!
cancala	chain	noun			isheen cancala koo cabsiite	she has broken my chains
carraaqa	effort	noun			carraaqa gaarii	a good effort
cawwee	cancer	noun			iti cawwee miliquu	the cancer has disappeared
chokkolaattaa	chocolate	noun			chokkolaattaa rakasaa dhufee	the chocolate has become cheap
chokkolaattaa	toffee	noun			chokkolaattaa arraabuu	lick a toffee
cilee	charcoal	noun			jooniyaa cilee	sack of charcoal
cimaa	strong	adjective			dubartii cimaa	a strong woman
cimina	strength	noun			cimina fi humnaa	strength and power
cinaa daandiitti	signpost	noun			dheeraa cinaa daandiittii	a tall signpost
ciniinuu	bite	verb			sareen ciniinuu danda'aa	the dog can bite
cinnii	louse	noun			cinnii haandaaqoo	chicken lice
ciree	breakfast	noun			inni eeyyama nyaachuu ciree	he will eat breakfast
cirrachaa	sand	noun			cirrachaa qarqaraa galaanaa	beach sand
cobaa imimmaa	teardrop	noun			cobaa imimmaa xiinnoo	a few teardrops
cobuu	drop	noun			haandaaqoon bishaan cobuu dhaan dhugaa	drop by drop a chicken drinks water
cufa	all	determiner			cufa wanta	all things
cuqaasuu	click	verb			asi cuqaasi	click here
cuquliisa	blue	adjective			uffata cuquliisa	blue dress
cuufuu	close	verb			balbala cuufuu	to close the door
daa'imaa	baby	noun			daa'imaa qabaa	I have a baby
daa'immaa	toddler	noun			daa'immaa, eessaa deemaa jirtaa?	toddler, where are you going?
daa'imuu	crawl	verb			ijoollee itii daa'imuu	the child is crawling
daabboo	bread	noun			daabboo laafaa	soft bread
daagusaa	millet	noun			shoorbaa daagusaa	millet porridge
daakkiyyee	duck	noun			adii daakkiyyee	white duck
daakuu	flour	noun			daakuu boqqoolloo	corn flour
daandii	highway	noun			konkolaataa tokko daandii	cars on a highway
daangaa	realm	noun			oduu daangaa	news of the realm
daaraa	ash	noun			cilee fi daaraa	charcoal and ashes
daawwitii	mirror	noun			daawwitii guddaa	big mirror
