_	a	determiner				a man and a woman
_	the	determiner				the house
a zvino	modern	adjective			mushina ya zvino	modern language
Africa	Africa	noun			shanyira Africa	visit Africa
aini	iron	science			aini (Fe) ane guminepiri tanhatu atomu	iron (Fe) has 26 protons
akakosha	important	adjective			uri munhu akakosha	you are an important person
Akan	Akan	noun		a language group originating from West Africa	ndinotaura Akan	I speak Akan
ake	her	possessive			imba yake iye	her house
ake	his	possessive			imba yake iye	his house
ake	its	possessive		singular possessive pronoun for neuter gender objects	imba yake iye	its house
amai	mother	noun			mwana wamai vangu munin'ina wangu	my mother's child is my sibling
amburera	umbrella	noun			gara pasi pe amburera	sit under the umbrella
ane	have	verb			anemari	she has money
ane mbiri	famous	adjective			munhu ane mbiri	famous person
ani	who	pronoun			ndi ani a?	who is he?
apo	while	conjunction			aitamba apo mudhara ayiimba	he danced while the old man was singing
apo	there	noun		that place	pano ne apo	here and there
aruminium	aluminium	science			aruminium (Al) ane gumi netanhatu atomu	aluminium (Al) has 13 protons
asi	yet	conjunction		still; but nevertheless	bhuku iri rakakura asi ndariverenga rese	the book is big yet I read all of it
asi	but	conjunction			Ini ndochifarira, asi	I like it, but
atomo	atom	science			atomo ine mhumba ne magetsi	an atom has a nucleus and electrons
atomu	neutron	science			atomu ane chaja e 0	a neutron has a charge of 0
awa	hour	noun			maawa magumi	ten hours
azote	nitrogen	science			azote (N) ane nomwe atomu	nitrogen (N) has 7 protons
baba	father	noun			mwana wababa vangu munin'ina wangu	my father's child is my sibling
badza	hoe	noun			badza ne cheka punha	hoe and cutlass
bamhanwa	plank	noun			bamhanwa ne chipikiri	plank and nail
banana	banana	noun			tsoko inofarira ma banana	a monkey likes bananas
banga	knife	noun			rodza banga	sharpen a knife
bani	valley	noun			makomo ne  mapani	hills and valleys
basa	job	noun			ini ndiri kuda basa	I need a job
basa	work	noun			ndi nobasa randinogona kuita	I want work I would do
bata	catch	verb			bata bhora	catch the ball
bata	touch	verb			kubata bvudzi rake	to touch her hair
batana	join	verb			mazwi ano batana ku gadzira zvirevo	words join together to make sentences 
batsira	help	verb			urikubatsira vanhu vese	you are helping everyone
batsira	advise	verb			Samia akabatsira Olu	Samia advises Olu
bazi	branch	noun			bazi re mhuri	family branch
beche	vagina	noun			u sati 'beche' mu povho	you don't say 'vagina' in public
bendekete	shoulder	noun			mira pamapendekete angu	stand on my shoulders
Benin	Benin	noun		A country in Africa	enda ku Benin	go to Benin
benzi	fool	noun			benzi! kupusa!	Fool! Dimwit!
bepa	paper	noun			bepa ra nhasi	today's paper
