_	a	determiner				a man and a woman
_	the	determiner				the house
-chelewa	late	adverb			kuchelewa	to come late
-rekebisha	discipline	verb			rekebisha mtoto wako	discipline your child
a	of	preposition		expresses possession	lugha ya Afrika	language of Africa
a ajabu	awesome	adjective			Mungu wa ajabu	awesome God
a chini	minimum	adjective			kiwango cha chini	minimum quantity
a dhati	frankly	adverb			iseme kwa dhati	say it frankly
a jua	sunny	adjective			siku ya jua	a sunny day
a juu	maximum	adjective			kiwango cha juu zaidi	maximum amount
a kawaida	normal	adjective			tabia ya kawaida	normal behaviour
a kifalme	royal	adjective			familia ya kifalme	royal family
a kila mwaka	yearly	adjective			tamasha la kila mwaka	a yearly festival
a kirafiki	friendly	adjective			mtoto wa kirafiki	a friendly child
a kisasa	modern	adjective			lugha ya kisasa	modern language
a kiufundi	technical	adjective			kazi ya kiufundi	technical work
a kudumu	permanent	adjective			kazi ya kudumu	a permanent job
a kujulikana	familiar	adjective			mnyama anayejulikana	a familiar animal
a kuzia	allergic	adjective			ngozi ya kuzia	allergic skin
a mawingu	cloudy	adjective			siku ya mawingu	a cloudy day
a milele	eternal	adjective			Mungu wa milele	eternal God
a ujinga	foolish	adjective			hadithi ya kijinga	a foolish story
a umeme	electric	adjective			taa ya umeme	electric light
a upepo	windy	adjective			siku ya upepo	a windy day
a upole	gentle	adjective			ulimi wa upole	a gentle tongue
aaah!	ouch	exclamation			aaah! Inaumiza	Ouch! It hurts
aborijini	aborigine	noun			sisi ni waborijini	we are the aborigines
acha	stop	verb			acha kupiga kelele	stop making noise
ada	interest	noun			ada ya mkopo	loan interest
adhibu	punish	verb			mwadhibu	punish him
adhuhuri	noon	noun			adhuhuri imefika	noon has arrived
adui	enemy	noun			adui watachoka	enemies will tire
afikia	achieve	verb			kuafikia kitu	to achieve something
Afrika	Africa	noun			tembelea Afrika	visit Africa
afya	health	noun			chakula hutoa afya	food gives health
agano	covenant	noun			agano jipya	a new covenant
agano	testament	noun			agano jipya	new testament
agizo	rule	noun			yeye hufuata maagizo	she follows the rules
Agosti	August	noun				August has 31 days
ah	ah	exclamation			ah ndiyo!	ah yes!
ahadi	promise	noun			nipe ahadi	give me a promise
ahidi	promise	verb			niahidi	promise me
aibu	dishonour	verb			umeniaibisha	you have dishonoured me
aibu	shyness	noun			hana aibu	he has no shyness
aibu	shame	noun			aibu na fedheha	shame and disgrace
aishie	living	adjective			mungu aishie	living god
ajabu	amazing	adjective			hadithi ya ajabu	amazing story
ajabu	wonder	noun			ajabu na upendo	wonder and love
