_	a	determiner				a man and a woman
ሂቡዎ	hand	noun			ሂቡዎ አንሳ	lift up your hand
ሃፍታም	rich	adjective			ሃፍታም ሃገር	a rich country
ህበይ	monkey	noun			ህበይ ከም ባናና	a monkey likes bananas
ህያብ	gift	noun			ጽቡቕ ህያብ	a good gift
ህፃን	baby	noun			አነይ ይህፃን አለዎ	I have a baby
ለሕሚ	cow	noun			ለሕሚ ስጋ; ስጋከብቲ	cow meat; beef
ሊላ	violet	adjective			ሊላ ዕምበባ	violet flowers
ልምሉም	soft	adjective			ልምሉም ባኒ	soft bread
ልዩ	specific	adjective			ልእዩ ነገር አሳይ	show me the specific thing
ሓሙሽተ	five	adjective		The number 5	ሓሙሽተ ጥርሙዝ	Five bottles
ሓምሳ	fifty	adjective		the number 50	ሓምሳ ጥርሙዝ	fifty bottles
ሓርማዝ	elephant	noun			ሓርማዝ ትልቅ እዩ	an elephant is very big
ሓርገዕ	alligator	noun			ሓርገዕ ጭራ ዝግበርዬ	an alligator has a tail
ሓቂ	true	adjective			ሓቂ ነዉ	it is true
ሓያል	strong	adjective			ሓያል ሰበይቲ	a strong woman
ሓያል	strong	adjective				a strong woman
ሓደ	one	adjective			ሓደ ሓሙሽተ	There is one bottle standing on top of the house
ሓዲሩ	bed	noun			ሓዲሩ ላይ ድቃስ	sleep on the bed
ሓጺር	short	adjective			ሓጺር ሰብ	short man
መሀበሲ	towel	noun			ኣጥለለ መሀበሲ	wet towel
መሕዘሊ	sad	adjective			መሕዘሊ ፊት	a sad face
መረዋሕ	bell	noun			ቤተትምህርቲ መረዋሕ	school bell
መርሓባ	welcome	exclamation			መርሓባ መርሓባ!	welcome welcome!
መስቲያት	mirror	noun			ገዚፍ መስቲያት	big mirror
መስኮት	window	noun			ገሊፁ እቲ መስኮት	open the windows
መንእሰይ	young	adjective			መንእሰይ ሰብ	young person
መኪና	car	noun			መኪና ዘወረ	drive a car
መጸ	come	verb			መጸ እዚ	to come here
መጽሐፍ	book	noun			እዚ መጽሐፍ	this book
መፅረጊ	broom	noun			መፅረጊ እና ቖሻሻ ማንሻ	broom and dustpan
መፋቂያ	toothbrush	noun			የጥርስ መፋቂያ እና ሳሙና	toothbrush and toothpaste
ሚእቲ	hundred	adjective		the number 100	ሚእቲ ጥርሙዝ	hundred bottles
ሚያምር	ostentatious	adjective			ሚያምር ልብሰ	an ostentatious dress
ማበጠሪያ	comb	noun			ጨጉሪ  መመሸጥ ማበጠሪያ ተጠቐመ	use a comb to comb your hair
ማንካ	spoon	noun			ዓሰርተሽዱሽተ ማንካ	sixteen spoons
ማንጎ	mango	noun			ማንጎ ብሲሉ	the mango has ripened
ማዕጾ	door	noun			ማዕጾ ዓጸወ	close the door
ማይ	water	noun			አንተ ማይ ትጠጥዩም	you drink water
ምልቃስ	cry	verb			ሁል ጊዘ  ምልቃስ	to cry each time
ምሕጻብ	bath	verb			ካብ ሁሉም ቀን ምሕጻብ	to bath each morning
ምስጋናዘይብሉ	ungrateful	adjective			ምስጋናዘይብሉ ሰብ	an ungrateful person
ምቁር	sweet	adjective			እቲ ሻሂ ኢያ ምቁር	the tea is sweet
ምግቢ	food	noun			ምግቢ በልዐ	eat food
ርሳስ	pencil	noun			ርሳስ እና ብርዒ	pencil and pen
ሰለስተ	three	adjective		The number 3	ሰለስተ ጥርሙዝ	three bottles
ሰላሳ	thirty	adjective		the number 30	ሰላሳ ጥርሙዝ	thirty bottles
ሰሓቐ	laugh	verb			ንሱ ሰሓቐ	he is laughing
ሰማንያ	eighty	adjective		the number 80	ሰማንያ ጥርሙዝ	80 bottles
ሰበይቲ	woman	noun			ጽቡቅ ሰበይቲ	a pretty woman
ሰብአይ	man	noun			ነዊሕ ሰብአይ	a tall man
ሰብዓ	seventy	adjective		the number 70	ሰብዓ ጥርሙዝ	seventy bottles
ሰኢሉ	picture	noun			ጽቡቅ ሰኢሉ	beautiful picture
ሳሙና	soap	noun			ሴንኬሉ እና ሳሙና	pail and soap
ሳርየት	spider	noun			ሳርየት ድር	spider's web
ሳንቲም	coin	noun			ኣርባዕተ ሳንቲም	four coins
ሳንኮሎ	bucket	noun			ሳንኮሎ ያንጠባጢቡ	the bucket leaks
ሳንዱቕ	box	noun			ሳንዱቕ  A ሳንዱቕ  B ን ይበልጥዩ	box A is bigger than box B
ሳእኒ	shoe	noun		footwear that covers all of the foot	ሳእኒ ለበሰ	wear your shoes
ሳዕስዒት	dance	verb			ሳዕስዒት ሓጎስ	to dance with joy
ስልኪ	phone	noun			ንሳ ስልኪ	her phone
ስም	name	noun			አነይ ስም	my name
ስሳ	sixty	adjective		the number 60	ስሳ ጥርሙዝ	sixty bottles
ስጋ	meat	noun			ጤል ስጋ	goat meat
ሸሓኒ	plate	noun			ሸሓኒ እጠብ	wash your plate
ሸሞንተ	eight	adjective		The number 8	ሸሞንተ ጥርሙዝ	Eight bottles
ሸውዓተ	seven	adjective		The number 7	ሸውዓተ ጥርሙዝ	seven bottles
ሽሕ	thousand	adjective		the number 1000	ሽሕ ጥርሙዝ	thousand bottles
ሽዱሽተ	six	adjective		The number 6	ሽዱሽተ ጥርሙዝ	six bottles
ቀይሕ	red	adjective			ቀይሕ ኽንፈር	red lips
ቀጠልያ	green	adjective			ቀጠልያ ቆጽሊ	green leaf
ቀጢን	thin	adjective			ቀጢን በትር	thin stick
ቀጥተኛ	straight	adjective			ቀጥተኛ መንገዲ	straight road
ቀጭኔ	giraffe	noun			ቀጭኔ አንስሳ ነዉ	a giraffe is an animal
ቅኑዕ	right	adjective			ቅኑዕ ኪድ	go right
ቆዋሚ	permanent	adjective			ቆዋሚ ስራህ	a permanent job
ቆጽሊ	leaf	noun			ቀጠልያ ቆጽሊ	green leaf
በልዐ	eat	verb				to eat everything
በቀቀን	parrot	noun		a parrot is a bird	ክልተ በቀቀን	two parrots
በጊዕ	sheep	noun			በጊዕ ስጋ	sheep meat (i.e. mutton)
ቢላዋ	knife	noun			ከምከመ ቢላዋ	sharpen a knife
