_	a	determiner				a man and a woman
_	the	determiner				the house
ababyeyi	parents	noun			ababyeyi be	his parents
abakinnye	cast	noun			abakinnye sinema	cast of a film
abarwanyi	warriors	noun			abarwanyi baraje	the warriors are coming
acyo	its	possessive		singular possessive pronoun for neuter gender objects	inzu yacyo	its house
Afurika	Africa	noun			gusura Afurika	visit Africa
agasimba	insect	noun		an animal with 6 legs	inyenzi ni agasimba	a cockroach is an insect
agati	stick	noun			vuna agati	break the stick
aha	here	noun		this place or this position	genda uhereye aha	go from here
ahantu	place	noun			ahantu hahe?	which place?
ahantu	place	noun			ahagana he?	which place?
ahazaza	future	noun			ndabona ahazaza hawe huzuye kudamarara	I see luxury in your future
aho	there	noun		that place	hano na aho	here and there
akaboko	arm	noun			zamura akaboko	lift up your arm
akabwibwi	sunset	noun			kuva mu kabwibwi kugera mu museso	from sunrise to sunset
akadomo	point	noun			1 akadomo 5 (1.5) ni rimwe n'igice	1 point 5 (1.5) is one and a half.
akaguru	leg	noun			akaguru kabyimbye	swollen leg
akajire	bodice	noun			yambaye akajire	she wears a bodice
akamenyero	habit	noun			akamenyero kabi	bad habit
Akan	Akan	noun		a language group originating from West Africa	mvuga Akan	I speak Akan
akananwa	chin	noun			fata ku kananwa	hold your chin
akanyamasyo	tortoise	noun			akanyamasyo kagenda buhoro	a tortoise walks slowly
akarere	realm	noun			amakuru ya akarere	news of the realm
akavuyo	junk	noun			hari akavuyo mu cyumba	there is junk in the room
aluminiyumu	aluminium	science			aluminiyumu (Al) igira poroto 13	aluminium (Al) has 13 protons
amabuno	buttocks	noun			amabuno manini	big buttocks
amafaranga	money	noun			amafaranga arafasha	money helps
amahera	money	noun plural			amahera arafasha	money helps
amahoro	levy	noun			kwishyura amahoro	pay a levy
amahoro	peace	noun			ndashaka amahoro	I want peace
amakara	charcoal	noun			umufuka w'amakara	sack of charcoal
amakimbirane	friction	noun			amakimbirane yaje hagati yacu	friction came between us
amakuru	news	noun			amakuru ya agace	news of the realm
amaraso	blood	noun			amazi n'amaraso	water and blood
amarira	tear	noun			amaso yanjye yuzuye amarira	my eyes filled with tears
amashanyarazi	electricity	science			amashanyarazi aboneka iyo iyo umuriro uvuye ahantu ujya ahandi	electricity is when charges go from one place to a new place
amateka	history	noun			kumenya amateka	learn history
amavuta ya ibimera	vegetable oil	noun			koresha amavuta y'ibimera ukaranga ifi	use vegetable oil to fry fish
amayeri	trick	noun			reka amayeri	stop the tricks
amayobera	riddle	noun			amahurizo na amayobera	puzzles and riddles
