_	a	determiner				a man and a woman
_	the	determiner				the house
abantu	human	noun			singabantu	we are humans
abantu	humankind	noun			singabantu	we are humankind
abasebenzi	staff	noun			abasebenzi benkosi	the king's staff
abazali	parents	noun			abazali bakhe	his parents
Afrika	Africa	noun			vakasha i-Afrika	visit Africa
Agasti	August	noun			uAgasti unezinsuku ezingu 31	August has 31 days
agoni	argon	science			i-agoni (Ar) inamaphrothoni ayishumi nesishiyagalombili	argon (Ar) has 18 protons
akuthandeki	ugly	adjective			akuthandeki lokhu	it is ugly
aluminiyamu	aluminium	science			i-aluminiyamu (Al) inamaphrothoni ayishumi nantathu	aluminium (Al) has 13 protons
amabele	millet	noun			umdoko wamabele	millet porridge
amabele	breast	noun			ubisi oluphuma emabeleni	breast milk
amabhuleki	brake	noun			amabhuleki emoto	brake of a car
amabhulukwe	jeans	noun			amabhulukwe aluhlaza	blue jeans
amafutha	grease	noun			amafutha phakathi kwepani	grease in a pan
amafutha emifino	vegetable oil	noun			sebenzisa amafutha emifino ukuthosa inhlanzi	use vegetable oil to fry fish
amagumbi	corners	noun			wonke amagumbi omhlaba	all corners of the world
amahemuhemu	gossip	noun			amahemuhemu awalungile	gossip is not good
amahloni	shame	noun			amahloni kanye nehlazo	shame and disgrace
amalahle	charcoal	noun			isaka lamalahle	sack of charcoal
amalitha	gallon	noun			amalitha amanzi	a gallon of water
amalunga omzimba	joint	noun			nweba amalunga omzimba	stretch your joints
amalungelo	rights	noun			amalungelo abantu	rights of humankind
amalungiselelo	preparation	noun			yenza amalungiselelo	make preparation
amandla	strength	noun			amandla kanye nobuqwaga	strength and power
amandla	power	noun			ubukhali kanye namandla	strength and power
amandla	energy	science			ungashintsha isisindo sibe ngamandla	you can change mass into energy
amandla	strong	adjective			owesifazane onamandla	a strong woman
amandla kagesi	charge	science			ugesi unamandla angempela kanye namandla aphikisayo	electricity has positive charge and negative charge
amane	four	adjective		The number 4	kunamabhodlela amane odongeni	There are four bottles on the wall
amanga	liar	noun			amanga amathathu	three liars
amankinanti agayiwe	groundnut	noun			umbila kanye namankinanti agayiwe	corn and groundnuts
amanzi	water	noun			uphuza amanzi	you drink water
amashumi amabili	twenty	adjective		The number 20	amabhodlela angamashumi amabili	twenty bottles
amashumi amahlanu	fifty	adjective		the number 50	amabhodlela angamashumi amahlanu	fifty bottles
amashumi amane	forty	adjective		the number 40	amabhodlela angamashumi amane	forty bottles
amashumi amathathu	thirty	adjective		the number 30	amabhodlela angamashumi amathathu	thirty bottles
